Start,End,Time Zone,Duration,Restful Minutes, Restless Minutes, Awake Minutes
2022-10-09 23:11,2022-10-10 06:29,CEST,438,274,0,32
2022-10-08 23:31,2022-10-09 07:08,CEST,457,280,0,5
2022-10-07 23:25,2022-10-08 07:19,CEST,474,301,0,12
2022-10-06 22:51,2022-10-07 05:58,CEST,427,280,0,9
2022-10-05 23:51,2022-10-06 05:52,CEST,362,198,0,2
2022-10-05 00:07,2022-10-05 06:00,CEST,353,195,0,9
2022-10-03 23:06,2022-10-04 05:59,CEST,414,296,0,4
2022-10-02 23:14,2022-10-03 05:58,CEST,404,293,0,14
2022-10-01 01:20,2022-10-01 07:42,CEST,382,232,0,2
2022-09-29 23:31,2022-09-30 06:00,CEST,389,281,0,9
2022-09-28 23:39,2022-09-29 05:59,CEST,380,236,0,15
2022-09-27 23:17,2022-09-28 05:59,CEST,402,251,0,14
2022-09-27 01:04,2022-09-27 05:59,CEST,295,186,0,4
2022-09-25 22:50,2022-09-26 06:00,CEST,430,322,0,16
2022-09-24 23:55,2022-09-25 07:49,CEST,474,272,0,12
2022-09-23 23:42,2022-09-24 07:31,CEST,468,286,0,13
2022-09-21 22:38,2022-09-22 06:00,CEST,442,306,0,15
2022-09-19 22:30,2022-09-20 06:34,CEST,484,461,15,8
2022-09-18 22:49,2022-09-19 06:48,CEST,479,439,14,27
2022-09-17 22:41,2022-09-18 07:07,CEST,506,471,17,19
2022-09-16 23:19,2022-09-17 07:52,CEST,512,472,17,24
2022-09-15 22:50,2022-09-16 06:00,CEST,430,419,11,0
2022-09-14 22:54,2022-09-15 06:08,CEST,435,412,12,10
2022-09-13 22:30,2022-09-14 06:24,CEST,474,441,10,24
2022-09-13 00:00,2022-09-13 06:50,CEST,411,388,12,10
2022-09-11 23:47,2022-09-12 06:29,CEST,401,384,11,6
2022-09-10 02:56,2022-09-10 06:25,CEST,209,185,7,17
2022-09-09 00:25,2022-09-09 06:22,CEST,357,347,9,1
2022-09-07 22:00,2022-09-08 06:28,CEST,508,485,13,11
2022-09-06 22:39,2022-09-07 06:20,CEST,461,436,14,11
2022-09-06 00:34,2022-09-06 06:11,CEST,336,321,13,2
2022-09-04 22:30,2022-09-05 06:29,CEST,480,460,16,4
2022-09-03 22:00,2022-09-04 07:00,CEST,541,515,21,5
2022-09-03 01:01,2022-09-03 08:38,CEST,457,435,12,10
2022-09-01 23:40,2022-09-02 06:28,CEST,408,384,10,14
2022-08-31 22:30,2022-09-01 06:30,CEST,480,451,15,14
2022-08-30 22:43,2022-08-31 06:57,CEST,494,472,12,11
2022-08-29 22:52,2022-08-30 06:27,CEST,455,423,12,20
2022-08-28 23:57,2022-08-29 06:17,CEST,380,361,13,6
2022-08-27 23:30,2022-08-28 09:34,CEST,604,566,19,19
2022-08-26 22:00,2022-08-27 07:01,CEST,542,480,18,44
2022-08-25 22:30,2022-08-26 06:25,CEST,476,464,11,1
2022-08-24 23:38,2022-08-25 06:46,CEST,428,406,9,13
2022-08-23 23:59,2022-08-24 06:33,CEST,394,370,8,17
2022-08-22 22:30,2022-08-23 06:29,CEST,480,447,13,20
2022-08-21 22:56,2022-08-22 06:27,CEST,451,421,14,17
2022-08-20 23:19,2022-08-21 07:41,CEST,503,464,14,25
2022-08-19 23:46,2022-08-20 07:00,CEST,434,404,13,17
2022-08-18 22:17,2022-08-19 06:30,CEST,494,467,12,14
2022-08-17 22:30,2022-08-18 06:39,CEST,489,468,13,8
2022-08-16 22:43,2022-08-17 06:30,CEST,467,441,12,14
2022-08-15 23:06,2022-08-16 06:38,CEST,452,392,9,51
