Reading_NoInt,Naming_Int,Naming_NoInt,Reading_Int,Year
4.16,6.76,4.45,4.65,2015
4.35,7.73,4.78,4.46,2015
3.6,7,4,3.5,2015
3.9,9.03,4.6,6.3,2015
4.22,9.98,6.83,6.24,2015
4.31,6.51,5.78,4.08,2015
4.58,11.57,6.22,4.49,2015
3.93,7.33,5.5,4.26,2015
4.48,9.78,5.04,5.33,2015
3.56,7.86,4.16,3.81,2015
3.1,10.49,5.34,3.62,2015
4.11,9.17,5.22,3.97,2015
3.17,7.51,3.69,3.26,2015
3.85,9.92,6.12,4.28,2015
3.48,8.49,5.33,4.86,2016
4.36,8.5,4.46,7.46,2016
4.59,8.68,6.09,7.09,2016
4.22,8.26,4.81,5.15,2016
4.15,7.53,4.6,3.35,2016
3.74,5.53,3.63,3.83,2016
3.73,7.35,4.21,3.88,2016
3.33,8.9,6.12,4.96,2016
4.46,8.37,5.08,4.46,2016
4.42,10.2,6.1,4.33,2016
4.33,9.5,5.95,4.8,2016
3.55,8.09,4.46,4.51,2016
4.61,9.71,7.26,6.4,2016
3.93,8.63,5.65,7.19,2016
4.05,6.95,5.7,4.7,2016
4.15,10.93,5.73,4.81,2016
3.8,10.7,5.8,7.4,2016
4.2,8.1,4.8,8,2016
4.4,8.1,5.9,9.3,2016
4.04,15.06,8,6,2016
4.31,11,6.9,7.55,2016
5.06,8.1,5.68,7.3,2016
4.3,9.37,5.71,6,2016
4.08,10.21,7.23,4.88,2016
4.33,9.54,5.47,4.21,2016
4.2,8.4,6.63,4.5,2016
4.27,8.26,4.9,4.8,2016
4.22,8.46,5.41,3.98,2016
4.87,13.65,5.57,7.03,2016
3.58,6.66,4.36,4.8,2016
3.63,6.76,4.86,4.54,2016
3.83,10.88,5.13,4.38,2016
4.31,8.73,5.06,6.66,2016
4.13,8.31,4.48,4.36,2016
3.85,7.71,4.66,3.37,2016
3.96,8.66,5.4,4.38,2016
3.38,10.61,4.64,4.95,2016
3.73,6.09,4.77,5.08,2016
3.61,7.51,4.05,3.83,2016
4.2,9.14,6.08,4.64,2016
3.73,7.6,4.96,5.22,2016
4.77,10.22,5.13,4.73,2017
4.69,9.82,5.85,6.62,2017
5.22,9.55,4.55,4.93,2017
3.82,8.15,5.46,4.13,2017
3.7,12.46,5.83,4.26,2017
3.61,11.1,4.96,3.32,2017
4.67,6.65,4.26,3.98,2017
4.21,8.23,4.87,7.1,2017
5.15,7.91,6.29,6.66,2017
3.78,8.31,4.58,3.92,2017
4.26,9.14,5.45,8.84,2017
4.82,7.7,6.22,7.36,2017
4.33,7.13,5.23,6.04,2017
4.5,8.01,5.41,7.83,2017
5.58,12.68,5.79,4.95,2017
5.03,9.21,5.75,4.9,2017
4.15,10.74,6,5,2017
4.24,7,4.98,4.53,2017
3.93,8.42,5.18,4.25,2017
4.2,16.02,7.1,4.38,2017
4.59,7.08,6.23,4.06,2017
3.56,9.1,5.62,4.03,2017
2.83,6.29,4.03,4.15,2017
3.69,9.06,6.02,5.66,2017
5.98,9.11,6.89,6.92,2017
6.2,17,6.3,5.7,2017
5.7,12.2,8.2,5,2017
4.5,9.6,7.2,5.1,2017
3.9,7.8,5.4,4.5,2017
4,8.5,7.4,5.2,2017
4,8.3,5.69,4,2017
5.1,11.5,8.2,14.56,2017
3.79,5.75,4.7,4.97,2017
3.59,6.86,5.45,5.16,2017
4.09,7.73,5.15,4.42,2018
4.55,9.04,5.47,6.35,2018
4.2,7.49,4.75,4.9,2018
4.2,9.3,7,5,2018
3.4,7.4,5.2,4.3,2018
3.9,10.3,5.7,4.4,2018
3.1,10.2,4.9,4,2018
4.8,10.7,5.4,6.3,2018
3.81,11.45,6.48,7.6,2018
3.7,15.09,5.05,5.2,2018
3.02,7.01,4.59,3.63,2018
3.34,8.83,4.93,4.35,2018
3.86,7.83,5,4,2018
4.04,7.11,4,3,2018
4.28,11.11,5.85,6.63,2018
5.68,12.66,8.37,8.13,2019
4.02,8.24,5.56,4.78,2019
4.52,9.14,7.47,5.28,2019
4.46,11.71,6.56,3.99,2019
5.67,9.86,5.31,5.09,2019
5.44,9.64,6.5,6.06,2019
4.92,10.06,6.49,4.52,2019
4.43,8.84,4.46,4.21,2019
3.64,8.83,4.26,3.99,2019
4.32,9.51,5.48,4.71,2019
3.47,9.24,4.68,5.54,2019
8.16,12.33,11.71,7.23,2019
4.49,9.82,12.56,9.58,2019
5.31,8.61,6.13,4.94,2019
4.73,9.55,6.27,5.31,2019
6.11,8.91,5.43,14.71,2019
7.06,12.44,8.15,11.85,2019
4.43,8.86,5.54,5.68,2019
5.01,9.16,7.1,7.26,2019
7.35,9.84,4.78,4.78,2019
3.22,5.43,4.62,4.16,2019
3.66,8.3,4.22,4.76,2019
3.42,8.35,4.3,3.53,2019
6,8.73,6.55,4.93,2020
4.6,7.28,4.67,4.6,2020
3.78,6.84,5.34,3.57,2020
3.38,7.17,4.66,3.83,2020
4.2,9.89,7.7,4.81,2020
4.8,11.56,8.27,5.75,2020
5.03,8.35,5.39,8.08,2020
5.69,7.3,5.19,5.4,2020
4.5,8.8,6,4.7,2020
4.3,8.1,5.69,5.26,2020
4.2,12.3,6,5.7,2020
5.6,6.79,4.9,7.6,2020
4.2,7.3,5.1,3.91,2020
3.89,6.9,4.03,4.04,2020
5.1,14.12,7.63,5.27,2020
4.22,10.37,6.7,5.18,2020
4.04,10.72,6.38,5.11,2020
4.42,10.37,4.75,4.33,2020
4.77,9.71,6.49,5.8,2020
3.83,11.95,8.38,4.2,2020
5.4,22.66,6.73,4.06,2020
2.85,9.64,5.8,4.91,2020
2.93,7.4,5.28,3.28,2020
3.75,9.53,5.47,4.64,2020
5.79,11.32,10.01,5.95,2021
5.26,7.94,5.05,5.93,2021
5.02,6.5,5.18,4.39,2021
4.87,7.66,6.4,6.06,2021
4.62,10.01,6.28,9.55,2021
5,11.2,6.24,6.96,2021
4.96,8.02,4.98,4.91,2021
4,8.76,5.08,6.99,2021
4.68,10.33,7.85,10.47,2021
6.79,11.16,6.86,29.47,2021
4.98,10.86,6.99,6.22,2021
5.48,11.14,6.79,7.03,2021
5.07,17.55,6.93,9.62,2021
4.28,12.45,4.54,4.81,2021
4.72,10.13,6.51,10.21,2021
4.66,11.64,6.1,5.05,2021
5.16,10.36,7.94,5.53,2021
7.07,6.88,5.5,6.45,2021
4.6,11.2,6.32,4.6,2021
4.52,8.83,5.97,5.28,2021
3.93,8.92,6.05,5.72,2021
4.7,9.69,5.13,7.12,2021
3.98,8.06,6.35,6.28,2021
3.98,10.58,6.77,7.09,2021
4.85,21.79,9.05,6.17,2021
3.69,6.82,4.54,5.29,2021
4.3,7.08,6.25,4.28,2021
4.75,9.66,6.12,5.49,2021
4.98,7.52,6.73,5.16,2021
5.16,8.81,8.19,5.51,2021
4.27,10.4,5.32,4.59,2021
5,10,6,4,2025
6,13,8,8,2025
5,12,6,6,2025
5.5,9.8,6.2,21.7,2025
5,12,8.5,11,2025
4.2,7.6,5.8,7.8,2025
4.6,8,5,4.5,2025
4.77,10,5.66,6.24,2025
4.61,12.8,6.87,9.55,2025
4.79,10.72,5.64,7.25,2025
4.41,8.87,6.7,6.7,2025
5.21,8.85,7.41,5.7,2025
4.5,6.9,4.8,5.85,2025
4.02,10.61,5.5,8.5,2025
4.99,11.08,7.58,4.87,2025
5.96,17.56,7.28,7.08,2025
3.61,10.56,5.1,3.41,2025
4.6,8.38,6.11,4.41,2025
4.19,8.53,5.31,4.61,2025
