ID,sender,sender_type,sender_id,timestamp,meta,color,correct,correctResponse,duration,ended_on,phase,response,response_action,time_commit,time_end,time_render,time_run,time_show,time_switch,url,word
1,Instruction,html.Screen,0,2024-09-26T07:12:24.606Z,"{""labjs_version"":""20.2.4"",""labjs_build"":{""flavor"":""development"",""commit"":""f5b4a49f956347addd546a832a3327688c2c0fef""},""location"":""https://labjs.felixhenninger.com/api/labjs_preview/index.html"",""userAgent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.6 Safari/605.1.15"",""platform"":""MacIntel"",""language"":""en-GB"",""locale"":""en-GB"",""timeZone"":""Europe/Copenhagen"",""timezoneOffset"":-120,""screen_width"":1728,""screen_height"":1117,""scroll_width"":1389,""scroll_height"":155,""window_innerWidth"":1405,""window_innerHeight"":930,""devicePixelRatio"":2}",,,,5604,response,,continue,keypress(Space),5806,5763,159,136,176,5868,{},
1,Fixation cross,canvas.Screen,1_0_0_0,2024-09-26T07:12:25.155Z,,orange,,,501,timeout,practice,,,6355,6353,5842,5810,5868,6369,,orange
1,Stroop screen,canvas.Screen,1_0_0_1,2024-09-26T07:12:26.097Z,,orange,TRUE,orange,910,response,practice,orange,keydown(o),7297,7263,6353,6356,6369,7322,,orange
1,Inter-trial interval,canvas.Screen,1_0_0_2,2024-09-26T07:12:26.604Z,,orange,,,498,timeout,practice,,,7804,7803,7298,7297,7322,7820,,orange
1,Trial,flow.Sequence,1_0_0,2024-09-26T07:12:26.605Z,,orange,,,1935,completion,practice,,,7805,7803,5842,5810,5868,7820,,orange
1,Fixation cross,canvas.Screen,1_0_1_0,2024-09-26T07:12:27.104Z,,blue,,,500,timeout,practice,,,8304,8303,7803,7805,7820,8320,,blue
1,Stroop screen,canvas.Screen,1_0_1_1,2024-09-26T07:12:27.900Z,,blue,TRUE,blue,761,response,practice,blue,keydown(b),9100,9064,8303,8304,8320,9121,,blue
1,Inter-trial interval,canvas.Screen,1_0_1_2,2024-09-26T07:12:28.406Z,,blue,,,500,timeout,practice,,,9606,9605,9100,9100,9121,9621,,blue
1,Trial,flow.Sequence,1_0_1,2024-09-26T07:12:28.406Z,,blue,,,1785,completion,practice,,,9606,9605,7803,7805,7820,9621,,blue
1,Fixation cross,canvas.Screen,1_0_2_0,2024-09-26T07:12:28.907Z,,green,,,501,timeout,practice,,,10107,10106,9605,9607,9621,10122,,green
1,Stroop screen,canvas.Screen,1_0_2_1,2024-09-26T07:12:29.942Z,,green,TRUE,green,997,response,practice,green,keydown(g),11142,11103,10106,10107,10122,11156,,green
1,Inter-trial interval,canvas.Screen,1_0_2_2,2024-09-26T07:12:30.440Z,,green,,,500,timeout,practice,,,11640,11640,11143,11142,11156,11656,,green
1,Trial,flow.Sequence,1_0_2,2024-09-26T07:12:30.440Z,,green,,,2019,completion,practice,,,11640,11640,9605,9607,9621,11656,,green
1,Fixation cross,canvas.Screen,1_0_3_0,2024-09-26T07:12:30.940Z,,red,,,501,timeout,practice,,,12140,12140,11640,11640,11656,12157,,red
1,Stroop screen,canvas.Screen,1_0_3_1,2024-09-26T07:12:31.829Z,,red,TRUE,red,853,response,practice,red,keydown(r),13029,12993,12140,12141,12157,13041,,red
1,Inter-trial interval,canvas.Screen,1_0_3_2,2024-09-26T07:12:32.326Z,,red,,,500,timeout,practice,,,13526,13525,13030,13029,13041,13541,,red
1,Trial,flow.Sequence,1_0_3,2024-09-26T07:12:32.327Z,,red,,,1869,completion,practice,,,13527,13525,11640,11640,11656,13541,,red
