url,meta,sender,sender_type,sender_id,ended_on,duration,time_run,time_render,time_show,time_end,time_commit,timestamp,time_switch,response,response_action,prime,target,condition,soa_condition,congruence,correct_response,correctResponse,correct
{'srid': '5930'},"{'labjs_version': '20.2.4', 'labjs_build': {'flavor': 'production', 'commit': 'f5b4a49f956347addd546a832a3327688c2c0fef'}, 'location': 'https://broca.cc.au.dk/publix/296/296/start?srid=5930', 'userAgent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:142.0) Gecko/20100101 Firefox/142.0', 'platform': 'Win32', 'language': 'en-US', 'locale': 'en-CA', 'timeZone': 'Asia/Seoul', 'timezoneOffset': -540, 'screen_width': 1536, 'screen_height': 864, 'scroll_width': 1536, 'scroll_height': 682, 'window_innerWidth': 1536, 'window_innerHeight': 730, 'devicePixelRatio': 1.25}",Wecome0,canvas.Screen,0,timeout,499.5,10284.0,10283.22,10291.28,10774.12,10775.0,2025-09-11T06:33:09.790Z,10790.78,,,,,,,,,,
,,Wecome1,canvas.Screen,1,timeout,499.71999999999935,10776.0,10774.12,10790.78,11273.86,11275.0,2025-09-11T06:33:10.290Z,11290.5,,,,,,,,,,
,,Wecome2,canvas.Screen,2,timeout,499.39999999999964,11275.0,11273.86,11290.5,11773.36,11774.0,2025-09-11T06:33:10.789Z,11789.9,,,,,,,,,,
,,Wecome3,canvas.Screen,3,timeout,499.5799999999999,11774.0,11773.36,11789.9,12272.96,12274.0,2025-09-11T06:33:11.289Z,12289.48,,,,,,,,,,
,,Instructions1,canvas.Screen,4,response,1470.5200000000004,12275.0,12272.96,12289.48,13760.0,13769.0,2025-09-11T06:33:12.785Z,13771.5,,keypress,,,,,,,,
,,Instructions 1a,canvas.Screen,5,response,847.5,13769.0,13769.36,13771.5,14619.0,14636.0,2025-09-11T06:33:13.651Z,14637.4,,keypress,,,,,,,,
,,Instructions2,canvas.Screen,6,response,872.6000000000004,14636.0,14635.6,14637.4,15510.0,15514.0,2025-09-11T06:33:14.530Z,15520.04,,keypress,,,,,,,,
,,Instructions3,canvas.Screen,7,response,926.9599999999991,15514.0,15513.48,15520.04,16447.0,16460.0,2025-09-11T06:33:15.477Z,16469.1,,keypress,,,,,,,,
,,Instructions4,canvas.Screen,8,response,1055.9000000000015,16460.0,16460.1,16469.1,17525.0,17538.0,2025-09-11T06:33:16.555Z,17551.5,,keypress,,,,,,,,
,,Instructions5,canvas.Screen,9,response,427.5,17539.0,17538.28,17551.5,17979.0,17981.0,2025-09-11T06:33:16.998Z,17984.6,,keypress(Space),,,,,,,,
,,fixation,canvas.Screen,10_0_0,timeout,532.7400000000016,17981.0,17981.62,17984.6,18500.84,18503.0,2025-09-11T06:33:17.520Z,18517.34,,,abjdhjs,HORSE,practice,practice,practice,n,,
,,mask1,canvas.Screen,10_0_1,timeout,49.93999999999869,18503.0,18500.84,18517.34,18550.68,18552.0,2025-09-11T06:33:17.569Z,18567.28,,,abjdhjs,HORSE,practice,practice,practice,n,,
,,prime,canvas.Screen,10_0_2,timeout,49.97999999999956,18552.0,18550.68,18567.28,18600.6,18601.0,2025-09-11T06:33:17.618Z,18617.26,,,abjdhjs,HORSE,practice,practice,practice,n,,
