acc,accuracy,avg_rt,block,browser_codename,browser_name,browser_version,category,correct,correct_response,count_reset_feedback,count_trial_sequence,count_word,date_startdate,date_startdateUTC,date_starttime,experiment_debug,experiment_parameters,experiment_pilot,experiment_taskname,experiment_taskversion,jatosStudyResultId,jatosVersion,number_letters,queryParams_batchId,queryParams_generalMultiple,response_keyboard_response,response_time,screen_availableHeight,screen_availableWidth,screen_colorDepth,screen_height,screen_pixelDepth,screen_screenX,screen_screenY,screen_width,subject_nr,subject_parity,system_os,target
100,100,1176,practice,Mozilla,Netscape,"5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36",NW,1,m,None,None,None,29-08-22,29-08-22,10:31:56,0,0,0,0,0,717,3.6.1,5,231,,None,1176,804,1440,24,900,24,0,23,1440,1,odd,MacIntel,ipple
100,100,947,practice,Mozilla,Netscape,"5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36",NW,1,m,None,None,None,29-08-22,29-08-22,10:31:56,0,0,0,0,0,717,3.6.1,5,231,,None,718,804,1440,24,900,24,0,23,1440,1,odd,MacIntel,mocag
100,100,818,practice,Mozilla,Netscape,"5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36",Word,1,z,None,None,None,29-08-22,29-08-22,10:31:56,0,0,0,0,0,717,3.6.1,6,231,,None,561,804,1440,24,900,24,0,23,1440,1,odd,MacIntel,turtle
100,100,770,practice,Mozilla,Netscape,"5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36",Word,1,z,None,None,None,29-08-22,29-08-22,10:31:56,0,0,0,0,0,717,3.6.1,5,231,,None,625,804,1440,24,900,24,0,23,1440,1,odd,MacIntel,apple
80,80,695,practice,Mozilla,Netscape,"5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36",Word,0,z,None,None,None,29-08-22,29-08-22,10:31:56,0,0,0,0,0,717,3.6.1,5,231,,None,397,804,1440,24,900,24,0,23,1440,1,odd,MacIntel,magic
83,83,708,practice,Mozilla,Netscape,"5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36",NW,1,m,None,None,None,29-08-22,29-08-22,10:31:56,0,0,0,0,0,717,3.6.1,6,231,,None,771,804,1440,24,900,24,0,23,1440,1,odd,MacIntel,ourtel
100,100,846,trial,Mozilla,Netscape,"5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36",NW,1,m,0,0,0,29-08-22,29-08-22,10:31:56,0,0,0,0,0,717,3.6.1,7,231,,m,846,804,1440,24,900,24,0,23,1440,1,odd,MacIntel,rhourth
100,100,862,trial,Mozilla,Netscape,"5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36",PH,1,m,0,1,1,29-08-22,29-08-22,10:31:56,0,0,0,0,0,717,3.6.1,6,231,,m,877,804,1440,24,900,24,0,23,1440,1,odd,MacIntel,whased
100,100,840,trial,Mozilla,Netscape,"5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36",NW,1,m,0,2,2,29-08-22,29-08-22,10:31:56,0,0,0,0,0,717,3.6.1,3,231,,m,797,804,1440,24,900,24,0,23,1440,1,odd,MacIntel,dod
100,100,828,trial,Mozilla,Netscape,"5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36",PH,1,m,0,3,3,29-08-22,29-08-22,10:31:56,0,0,0,0,0,717,3.6.1,6,231,,m,790,804,1440,24,900,24,0,23,1440,1,odd,MacIntel,fluick
