W,NL,Class
bib,3.0,Word
lax,3.0,Word
dog,3.0,Word
ram,3.0,Word
leg,3.0,Word
rib,3.0,Word
them,4.0,Word
wary,4.0,Word
turn,4.0,Word
welt,4.0,Word
beak,4.0,Word
star,4.0,Word
step,4.0,Word
camp,4.0,Word
sine,4.0,Word
mean,4.0,Word
fane,4.0,Word
zone,4.0,Word
soft,4.0,Word
haul,4.0,Word
vain,4.0,Word
blow,4.0,Word
miss,4.0,Word
yelp,4.0,Word
worn,4.0,Word
flow,4.0,Word
cloak,5.0,Word
linen,5.0,Word
dusty,5.0,Word
break,5.0,Word
baron,5.0,Word
crock,5.0,Word
huzza,5.0,Word
coach,5.0,Word
blush,5.0,Word
ghost,5.0,Word
pupil,5.0,Word
allow,5.0,Word
globe,5.0,Word
brake,5.0,Word
chute,5.0,Word
stale,5.0,Word
wrack,5.0,Word
grove,5.0,Word
wharf,5.0,Word
quart,5.0,Word
scare,5.0,Word
audit,5.0,Word
patch,5.0,Word
order,5.0,Word
table,5.0,Word
tiger,5.0,Word
victim,6.0,Word
mutton,6.0,Word
amount,6.0,Word
tomato,6.0,Word
neuter,6.0,Word
chapel,6.0,Word
puddle,6.0,Word
thrill,6.0,Word
banana,6.0,Word
throat,6.0,Word
cuttle,6.0,Word
beauty,6.0,Word
supper,6.0,Word
orange,6.0,Word
racket,6.0,Word
ginger,6.0,Word
misery,6.0,Word
jargon,6.0,Word
breath,6.0,Word
square,6.0,Word
enigma,6.0,Word
scroll,6.0,Word
salary,6.0,Word
planet,6.0,Word
frenzy,6.0,Word
sleigh,6.0,Word
dollar,6.0,Word
punish,6.0,Word
misuse,6.0,Word
starch,6.0,Word
camera,6.0,Word
spirit,6.0,Word
belfry,6.0,Word
salute,6.0,Word
dungeon,7.0,Word
charter,7.0,Word
arbiter,7.0,Word
referee,7.0,Word
chuckle,7.0,Word
measure,7.0,Word
ceiling,7.0,Word
platter,7.0,Word
tarnish,7.0,Word
embrace,7.0,Word
newborn,7.0,Word
blunder,7.0,Word
