correct_response,category,target,number_letters,block
[word_response],Word,bat,3,trial
[word_response],Word,dew,3,trial
[word_response],Word,sod,3,trial
[word_response],Word,pest,4,trial
[word_response],Word,vase,4,trial
[word_response],Word,toil,4,trial
[word_response],Word,ship,4,trial
[word_response],Word,want,4,trial
[word_response],Word,pull,4,trial
[word_response],Word,lamp,4,trial
[word_response],Word,roll,4,trial
[word_response],Word,goal,4,trial
[word_response],Word,ring,4,trial
[word_response],Word,quiet,5,trial
[word_response],Word,peace,5,trial
[word_response],Word,trend,5,trial
[word_response],Word,other,5,trial
[word_response],Word,spicy,5,trial
[word_response],Word,purse,5,trial
[word_response],Word,brief,5,trial
[word_response],Word,stair,5,trial
[word_response],Word,ferry,5,trial
[word_response],Word,spark,5,trial
[word_response],Word,crook,5,trial
[word_response],Word,yacht,5,trial
[word_response],Word,pants,5,trial
[word_response],Word,island,6,trial
[word_response],Word,finish,6,trial
[word_response],Word,ignore,6,trial
[word_response],Word,wizard,6,trial
[word_response],Word,garlic,6,trial
[word_response],Word,remark,6,trial
[word_response],Word,fleece,6,trial
[word_response],Word,yonder,6,trial
[word_response],Word,barrel,6,trial
[word_response],Word,nephew,6,trial
[word_response],Word,smooth,6,trial
[word_response],Word,nicety,6,trial
[word_response],Word,object,6,trial
[word_response],Word,custom,6,trial
[word_response],Word,statue,6,trial
[word_response],Word,pampas,6,trial
[word_response],Word,agency,6,trial
[word_response],Word,hygiene,7,trial
[word_response],Word,airship,7,trial
[word_response],Word,leghorn,7,trial
[word_response],Word,captive,7,trial
[word_response],Word,lobster,7,trial
[word_response],Word,welcome,7,trial
[nonword_response],NW,dod,3,trial
[nonword_response],NW,cem,3,trial
[nonword_response],NW,erb,3,trial
[nonword_response],NW,twom,4,trial
[nonword_response],NW,brud,4,trial
[nonword_response],NW,kirm,4,trial
[nonword_response],NW,yows,4,trial
[nonword_response],NW,dwut,4,trial
[nonword_response],NW,rurk,4,trial
[nonword_response],NW,cupe,4,trial
[nonword_response],NW,puct,4,trial
[nonword_response],NW,zowl,4,trial
[nonword_response],NW,parn,4,trial
[nonword_response],NW,pilms,5,trial
[nonword_response],NW,snive,5,trial
[nonword_response],NW,stoil,5,trial
[nonword_response],NW,tadds,5,trial
[nonword_response],NW,bince,5,trial
[nonword_response],NW,cound,5,trial
[nonword_response],NW,wrurb,5,trial
[nonword_response],NW,tould,5,trial
[nonword_response],NW,psime,5,trial
[nonword_response],NW,chowl,5,trial
[nonword_response],NW,dunds,5,trial
[nonword_response],NW,fumps,5,trial
[nonword_response],NW,waffs,5,trial
[nonword_response],NW,gromes,6,trial
[nonword_response],NW,wralph,6,trial
[nonword_response],NW,thwams,6,trial
[nonword_response],NW,fradge,6,trial
[nonword_response],NW,gladge,6,trial
[nonword_response],NW,scrait,6,trial
[nonword_response],NW,knults,6,trial
[nonword_response],NW,sluped,6,trial
[nonword_response],NW,snafes,6,trial
[nonword_response],NW,whotes,6,trial
[nonword_response],NW,plolks,6,trial
[nonword_response],NW,thwups,6,trial
[nonword_response],NW,trynes,6,trial
[nonword_response],NW,sleens,6,trial
[nonword_response],NW,threbs,6,trial
[nonword_response],NW,sturds,6,trial
[nonword_response],NW,nonzed,6,trial
[nonword_response],NW,thwilms,7,trial
[nonword_response],NW,rhourth,7,trial
[nonword_response],NW,spreals,7,trial
[nonword_response],NW,splicks,7,trial
[nonword_response],NW,dwerged,7,trial
[nonword_response],NW,shrarls,7,trial
[nonword_response],PH,rey,3,trial
[nonword_response],PH,orl,3,trial
[nonword_response],PH,oad,3,trial
[nonword_response],PH,fize,4,trial
[nonword_response],PH,wure,4,trial
[nonword_response],PH,gode,4,trial
[nonword_response],PH,wran,4,trial
[nonword_response],PH,dror,4,trial
[nonword_response],PH,rutt,4,trial
[nonword_response],PH,ryle,4,trial
[nonword_response],PH,fite,4,trial
[nonword_response],PH,glos,4,trial
[nonword_response],PH,haks,4,trial
[nonword_response],PH,cemed,5,trial
[nonword_response],PH,kopse,5,trial
[nonword_response],PH,wurds,5,trial
[nonword_response],PH,cuild,5,trial
[nonword_response],PH,medes,5,trial
[nonword_response],PH,phete,5,trial
[nonword_response],PH,stais,5,trial
[nonword_response],PH,phley,5,trial
[nonword_response],PH,popse,5,trial
[nonword_response],PH,kubed,5,trial
[nonword_response],PH,wrync,5,trial
[nonword_response],PH,rheed,5,trial
[nonword_response],PH,wurnt,5,trial
[nonword_response],PH,ghulfs,6,trial
[nonword_response],PH,scadds,6,trial
[nonword_response],PH,chaist,6,trial
[nonword_response],PH,graits,6,trial
[nonword_response],PH,beaves,6,trial
[nonword_response],PH,fluick,6,trial
[nonword_response],PH,whefts,6,trial
[nonword_response],PH,chured,6,trial
[nonword_response],PH,whased,6,trial
[nonword_response],PH,pleets,6,trial
[nonword_response],PH,tirmed,6,trial
[nonword_response],PH,proods,6,trial
[nonword_response],PH,wheaks,6,trial
[nonword_response],PH,phlize,6,trial
[nonword_response],PH,rhaque,6,trial
[nonword_response],PH,wroons,6,trial
[nonword_response],PH,grambs,6,trial
[nonword_response],PH,ghoards,7,trial
[nonword_response],PH,spaised,7,trial
[nonword_response],PH,ghoasts,7,trial
[nonword_response],PH,ghaffed,7,trial
[nonword_response],PH,phlukes,7,trial
[nonword_response],PH,scoules,7,trial
