,ID,sender,duration,prime,target,condition,soa_condition,congruence,correct,frequency_target
0,2215,target,865.7909999970198,paint,PAINT,Con_Synth,short,congruent,True,3.2737
3,2215,target,710.9940000089409,fern,PETAL,Inc_Nat_Nat,short,incongruent,True,1.6628
4,2215,target,598.581999997019,tiger,TIGER,Con_Nat,short,congruent,True,2.9759
6,2215,target,614.0259999970185,frog,FROG,Con_Nat,short,congruent,True,2.781
7,2215,target,756.6760000059621,peach,SHED,Inc_Nat_Synth,short,incongruent,True,2.749
8,2215,target,712.5980000089403,bike,BIKE,Con_Synth,short,congruent,True,3.1209
9,2215,target,633.6239999999998,rail,SQUID,Inc_Synth_Nat,short,incongruent,True,2.1523
11,2215,target,629.5880000029792,ruler,PANSY,Inc_Synth_Nat,short,incongruent,True,2.0
12,2215,target,720.1380000029785,kiosk,SOFA,Inc_Synth_Synth,short,incongruent,True,2.4771
13,2215,target,649.6259999970207,coat,COAT,Con_Synth,short,congruent,True,3.3318
14,2215,target,813.9100000029794,wharf,RAZOR,Inc_Synth_Synth,short,incongruent,True,2.5465
15,2215,target,571.9680000029803,harp,SNAIL,Inc_Synth_Nat,short,incongruent,True,1.959
18,2215,target,826.5520000059623,cave,CAVE,Con_Nat,short,congruent,True,2.8537
19,2215,target,925.1779999970169,arena,VINE,Inc_Synth_Nat,short,incongruent,True,2.0334
20,2215,target,779.1400000029826,water,MEDAL,Inc_Nat_Synth,short,incongruent,True,2.7716
22,2215,target,930.0219999970212,toast,TOAST,Con_Synth,short,congruent,True,3.2325
24,2215,target,628.0100000089442,grass,GRASS,Con_Nat,short,congruent,True,2.933
26,2215,target,876.116000008944,toad,GLOVE,Inc_Nat_Synth,short,incongruent,True,2.7126
27,2215,target,945.5439999970184,whale,WHALE,Con_Nat,short,congruent,True,2.7597
28,2215,target,627.474000000002,sash,CLOTH,Inc_Synth_Synth,short,incongruent,True,2.4942
29,2215,target,729.0580000029804,tank,TANK,Con_Synth,short,congruent,True,3.1163
33,2215,target,856.94399999702,patio,SPOON,Inc_Synth_Synth,short,incongruent,True,2.5899
34,2215,target,631.5360000000001,deer,DEER,Con_Nat,short,congruent,True,2.6484
35,2215,target,803.3200000059587,puppy,PUPPY,Con_Nat,short,congruent,True,2.7672
36,2215,target,897.0780000089435,camel,BENCH,Inc_Nat_Synth,short,incongruent,True,2.6937
38,2215,target,1301.2259999970192,rope,ROPE,Con_Synth,short,congruent,True,3.0641
40,2215,target,1333.1040000000066,crow,YACHT,Inc_Nat_Synth,short,incongruent,True,2.6232
42,2215,target,691.7059999970224,mice,TOOLS,Inc_Nat_Synth,short,incongruent,True,2.7543
45,2215,target,674.1320000059641,drug,DRUG,Con_Synth,short,congruent,True,3.363
46,2215,target,860.2210000029736,spear,MOTH,Inc_Synth_Nat,short,incongruent,True,2.0682
48,2215,target,714.4950000029785,seed,SEED,Con_Nat,short,congruent,True,2.5877
50,2215,target,1192.1630000089351,torch,CHIMP,Inc_Synth_Nat,short,incongruent,True,2.1875
51,2215,target,674.9689999999973,soil,SOIL,Con_Nat,short,congruent,True,2.5999
52,2215,target,612.5209999999934,worm,WORM,Con_Nat,short,congruent,True,2.7135
53,2215,target,1778.509000002974,belt,BELT,Con_Synth,short,congruent,True,3.0945
54,2215,target,875.7390000000014,mail,MAIL,Con_Synth,short,congruent,True,3.2742
55,2215,target,736.0330000059621,grape,LLAMA,Inc_Nat_Nat,short,incongruent,True,1.8633
56,2215,target,638.7550000059564,tower,TOWER,Con_Synth,short,congruent,True,3.0667
58,2215,target,650.8530000059545,doll,DOLL,Con_Synth,short,congruent,True,3.1017
59,2215,target,762.2710000089428,sword,SWORD,Con_Synth,short,congruent,True,3.1258
61,2215,target,703.2329999970243,eagle,WAGON,Inc_Nat_Synth,long,incongruent,True,2.9576
62,2215,target,731.6570000000065,linen,LINEN,Con_Synth,long,congruent,True,2.1761
63,2215,target,620.7810000059544,stick,STICK,Con_Nat,long,congruent,True,3.695
65,2215,target,535.9589999970194,bowl,WOLF,Inc_Synth_Nat,long,incongruent,True,3.0149
67,2215,target,699.1329999970185,wasp,WASP,Con_Nat,long,congruent,True,1.8692
68,2215,target,855.0229999970179,ferry,FERRY,Con_Synth,long,congruent,True,2.4378
69,2215,target,844.5849999970233,cloud,MOTEL,Inc_Nat_Synth,long,incongruent,True,2.9675
70,2215,target,1423.5470000029743,cake,TRASH,Inc_Synth_Synth,long,incongruent,True,3.0596
71,2215,target,600.1990000089427,plum,PLUM,Con_Nat,long,congruent,True,2.243
72,2215,target,914.4170000089508,swamp,DRILL,Inc_Nat_Synth,long,incongruent,True,2.8463
73,2215,target,808.3489999970188,olive,MOTOR,Inc_Nat_Synth,long,incongruent,True,2.8274
74,2215,target,988.0970000089436,crab,CRAB,Con_Nat,long,congruent,True,2.5478
75,2215,target,687.0650000000023,fort,GOAT,Inc_Synth_Nat,long,incongruent,True,2.7308
76,2215,target,619.4870000029914,broom,BROOM,Con_Synth,long,congruent,True,2.3874
77,2215,target,648.0730000059702,canon,CANON,Con_Synth,long,congruent,True,1.7076
78,2215,target,667.4270000029937,reef,REEF,Con_Nat,long,congruent,True,2.3118
80,2215,target,550.60100000893,sink,LAMB,Inc_Synth_Nat,long,incongruent,True,2.7348
81,2215,target,639.6880000059609,stair,STAIR,Con_Synth,long,congruent,True,1.8451
82,2215,target,580.2420000059647,barn,TUNA,Inc_Synth_Nat,long,incongruent,True,2.6117
83,2215,target,587.2940000059607,jeans,JEANS,Con_Synth,long,congruent,True,2.5289
84,2215,target,501.6460000029765,crate,CRATE,Con_Synth,long,congruent,True,2.3222
85,2215,target,612.0280000029888,flask,FLASK,Con_Synth,long,congruent,True,1.7634
86,2215,target,563.74800000299,pear,PEAR,Con_Nat,long,congruent,True,1.8388
87,2215,target,585.300000002986,earth,EARTH,Con_Nat,long,congruent,True,3.7054
88,2215,target,817.0180000029795,storm,LAND,Inc_Nat_Nat,long,incongruent,True,3.6527
89,2215,target,685.0450000089477,shoe,COUCH,Inc_Synth_Synth,long,incongruent,True,3.0785
91,2215,target,578.1610000089277,pipe,LION,Inc_Synth_Nat,long,incongruent,True,2.8943
93,2215,target,537.6609999999928,wire,CABIN,Inc_Synth_Synth,long,incongruent,True,3.0013
94,2215,target,666.01099999703,arrow,ARROW,Con_Synth,long,congruent,True,2.6031
95,2215,target,853.3989999970072,clam,CLAM,Con_Nat,long,congruent,True,2.3032
96,2215,target,641.8330000089481,canoe,CANOE,Con_Synth,long,congruent,True,2.2625
98,2215,target,638.3149999970337,scarf,SCARF,Con_Synth,long,congruent,True,2.3802
100,2215,target,794.7930000000051,stone,STONE,Con_Nat,long,congruent,True,3.3166
101,2215,target,932.4530000089436,deck,PLATE,Inc_Synth_Synth,long,incongruent,True,3.1169
102,2215,target,704.7850000029721,soap,PONY,Inc_Synth_Nat,long,incongruent,True,2.617
103,2215,target,534.5099999970116,slug,SLUG,Con_Nat,long,congruent,True,2.4048
104,2215,target,648.2259999970265,shell,DIRT,Inc_Nat_Nat,long,incongruent,True,3.1176
105,2215,target,487.81400000001304,flute,FLUTE,Con_Synth,long,congruent,True,2.0374
106,2215,target,687.7620000059542,moose,PORCH,Inc_Nat_Synth,long,incongruent,True,2.692
107,2215,target,727.484000005963,shark,HILL,Inc_Nat_Nat,long,incongruent,True,3.2824
108,2215,target,753.2080000059505,tongs,TONGS,Con_Synth,long,congruent,True,1.6128
109,2215,target,522.2660000059695,mall,BUSH,Inc_Synth_Nat,long,incongruent,True,2.8579
111,2215,target,657.3660000000091,sheep,BULL,Inc_Nat_Nat,long,incongruent,True,3.1474
112,2215,target,607.053999997006,apron,APRON,Con_Synth,long,congruent,True,2.1367
113,2215,target,721.9060000089521,taxi,CHAIN,Inc_Synth_Synth,long,incongruent,True,3.0346
114,2215,target,733.495999997016,stove,STOVE,Con_Synth,long,congruent,True,2.5888
115,2215,target,471.9200000000128,peas,PEAS,Con_Nat,long,congruent,True,2.3766
116,2215,target,602.2999999999884,bell,WHEEL,Inc_Synth_Synth,long,incongruent,True,3.1402
117,2215,target,538.5860000059474,wheat,BRICK,Inc_Nat_Synth,long,incongruent,True,2.716
119,2215,target,633.4100000059698,flood,SKIRT,Inc_Nat_Synth,long,incongruent,True,2.7067
121,2214,target,615.2009999940401,wire,CABIN,Inc_Synth_Synth,long,incongruent,True,3.0013
122,2214,target,452.3550000029809,slug,SLUG,Con_Nat,long,congruent,True,2.4048
123,2214,target,590.8849999970189,scarf,SCARF,Con_Synth,long,congruent,True,2.3802
125,2214,target,679.4529999940387,plum,PLUM,Con_Nat,long,congruent,True,2.243
126,2214,target,618.643000005959,reef,REEF,Con_Nat,long,congruent,True,2.3118
128,2214,target,555.8470000000016,crate,CRATE,Con_Synth,long,congruent,True,2.3222
130,2214,target,494.0789999970184,barn,TUNA,Inc_Synth_Nat,long,incongruent,True,2.6117
131,2214,target,882.8820000059604,arrow,ARROW,Con_Synth,long,congruent,True,2.6031
132,2214,target,660.1799999970208,canoe,CANOE,Con_Synth,long,congruent,True,2.2625
134,2214,target,835.0819999940395,taxi,CHAIN,Inc_Synth_Synth,long,incongruent,True,3.0346
136,2214,target,496.0980000000018,jeans,JEANS,Con_Synth,long,congruent,True,2.5289
138,2214,target,584.9799999970201,peas,PEAS,Con_Nat,long,congruent,True,2.3766
140,2214,target,856.4499999999971,bell,WHEEL,Inc_Synth_Synth,long,incongruent,True,3.1402
142,2214,target,989.6619999940376,flute,FLUTE,Con_Synth,long,congruent,True,2.0374
143,2214,target,589.9639999999999,stone,STONE,Con_Nat,long,congruent,True,3.3166
