spelling,lexicality,rt,zscore,accuracy,rt.sd,zscore.sd,accuracy.sd
a/c,N,668.0363636,0.321962039,0.769230769,180.0885547,1.09726646,0.424052096
aband,N,706.5,0.481597477,0.925,170.1721499,0.861493307,0.266746783
abayed,N,689.9354839,0.157765011,0.868421053,281.0501658,1.023943765,0.342569987
abbear,N,560.5833333,-0.361414285,0.95,121.3604725,0.529867329,0.220721428
abbears,N,611.4102564,-0.137276548,0.975,169.8579465,0.898893056,0.158113883
abbens,N,598.2894737,-0.384512528,1,144.779965,0.599918255,0
abchaim,N,591.7631579,-0.132368666,1,128.5609403,0.654254091,0
abects,N,635.2051282,-0.032405187,0.975,155.666002,0.644291568,0.158113883
abeme,N,591.0555556,-0.24304944,0.947368421,182.9082431,0.93264001,0.226294286
abents,N,690.2564103,0.409967134,0.975,207.9193566,0.836690518,0.158113883
abests,N,640.5454545,0.124966684,0.894736842,167.4654985,0.968632209,0.311011748
abik,N,518.6315789,-0.692567654,1,105.8104938,0.552280735,0
ablobs,N,585.6756757,-0.359569673,1,173.9000438,0.872717888,0
abme,N,532,-0.643403843,1,120.9594527,0.557444541,0
abne,N,559.1282051,-0.418832761,0.975,162.1425915,0.852765505,0.158113883
abone,N,702.03125,0.585268685,0.868421053,234.6792574,1.09415009,0.342569987
abones,N,666.1470588,0.231781223,0.947368421,186.9838969,0.883654194,0.226294286
abow,N,699.4242424,0.27917585,0.894736842,220.9485277,1.097576631,0.311011748
abran,N,579.6578947,-0.515860992,1,154.1195177,0.638600855,0
abrass,N,660.7352941,0.238442123,0.921052632,261.9852308,1.210663993,0.273276313
abrast,N,677.9189189,0.388654405,0.925,178.1077044,0.967454664,0.266746783
abre,N,671.2105263,0.097175541,1,212.2240221,0.908947759,0
abreeves,N,666.3928571,0.160222011,0.8,251.5569797,1.142930837,0.405095747
abroths,N,606.5789474,-0.100627717,0.975,141.568555,0.822203202,0.158113883
abrush,N,746.5555556,0.824653983,0.736842105,215.9183131,1.448025303,0.44625835
abscrict,N,771.2857143,0.931001291,0.973684211,227.8771046,1.14252153,0.162221421
abscue,N,717.6896552,0.51859929,0.789473684,213.9688067,1.088031363,0.41315495
abscued,N,795.5882353,1.11836724,0.9,287.910352,1.474978148,0.30382181
abscusts,N,663.8484848,0.192935987,0.921052632,194.0790949,0.819399662,0.273276313
absians,N,697.2647059,0.497644782,0.921052632,159.429724,0.797813366,0.273276313
absidge,N,633.2564103,0.102480855,1,138.2259245,0.781258456,0
absigned,N,722.4333333,0.697574885,0.789473684,173.0149851,1.106213416,0.41315495
absincts,N,732.5,0.838867601,0.7,184.0067934,0.970081525,0.464095481
absipsed,N,567.3243243,-0.418889434,0.973684211,128.2120756,0.525597134,0.162221421
absirl,N,571.7105263,-0.410991759,0.975,162.3814175,0.912669713,0.158113883
abslete,N,671.5,0.411980447,0.85,109.8876385,0.717999858,0.361620285
absletes,N,648.2820513,0.192297636,0.975,130.8498434,0.91127228,0.158113883
absord,N,777.9259259,0.910376777,0.789473684,158.2680117,0.888892514,0.41315495
absords,N,893.5,1.422603019,0.657894737,224.101491,1.201956185,0.480782908
absost,N,689.8648649,0.194969967,0.973684211,227.1554977,1.121121387,0.162221421
absosts,N,612.7297297,0.091764518,1,154.2358671,0.868772718,0
absount,N,662.0512821,0.267550808,0.975,126.5722071,0.70602854,0.158113883
absounts,N,741,0.585325786,0.975,220.0967846,0.933082381,0.158113883
abstrade,N,733.3428571,0.892125251,0.95,176.3674211,1.082091658,0.220721428
abstrides,N,749.0909091,0.860895111,0.85,255.9480372,1.319543723,0.361620285
abstuened,N,652.5897436,0.059342728,1,194.2866463,0.930891432,0
abstuent,N,701.2857143,0.421594363,0.921052632,224.3878695,0.909474897,0.273276313
absuse,N,838.125,1.386069403,0.45,228.5495935,1.184705321,0.503831474
absused,N,937.6923077,1.922072429,0.342105263,259.978648,1.266606372,0.480782908
