block,browser_codename,browser_name,browser_version,condition,correct_response,date_startdate,date_startdateUTC,date_starttime,experiment_debug,experiment_parameters,experiment_pilot,experiment_taskname,experiment_taskversion,jatosStudyResultId,jatosVersion,queryParams_batchId,queryParams_generalMultiple,response,response_time,screen_availableHeight,screen_availableWidth,screen_colorDepth,screen_height,screen_pixelDepth,screen_screenX,screen_screenY,screen_width,stim,system_os
practice,Mozilla,Netscape,"5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.0 Safari/605.1.15",Unrelated,LEFT,04-10-21,04-10-21,11:26:42,0,0,0,0,0,255,3.6.1,98,,left,1745,900,1440,24,900,24,0,0,1440,shark-dull,MacIntel
practice,Mozilla,Netscape,"5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.0 Safari/605.1.15",Unrelated,LEFT,04-10-21,04-10-21,11:26:42,0,0,0,0,0,255,3.6.1,98,,left,2026,900,1440,24,900,24,0,0,1440,sand-pepper,MacIntel
practice,Mozilla,Netscape,"5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.0 Safari/605.1.15",Related,LEFT,04-10-21,04-10-21,11:26:42,0,0,0,0,0,255,3.6.1,98,,left,1584,900,1440,24,900,24,0,0,1440,buy-sell,MacIntel
practice,Mozilla,Netscape,"5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.0 Safari/605.1.15",Related,LEFT,04-10-21,04-10-21,11:26:42,0,0,0,0,0,255,3.6.1,98,,left,986,900,1440,24,900,24,0,0,1440,table-chair,MacIntel
practice,Mozilla,Netscape,"5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.0 Safari/605.1.15",Nonword,RIGHT,04-10-21,04-10-21,11:26:42,0,0,0,0,0,255,3.6.1,98,,right,1461,900,1440,24,900,24,0,0,1440,ip-bown,MacIntel
practice,Mozilla,Netscape,"5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.0 Safari/605.1.15",Nonword,RIGHT,04-10-21,04-10-21,11:26:42,0,0,0,0,0,255,3.6.1,98,,right,2089,900,1440,24,900,24,0,0,1440,hort-sain,MacIntel
A,Mozilla,Netscape,"5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.0 Safari/605.1.15",Filler,RIGHT,04-10-21,04-10-21,11:26:42,0,0,0,0,0,255,3.6.1,98,,right,1478,900,1440,24,900,24,0,0,1440,rough-smoat,MacIntel
A,Mozilla,Netscape,"5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.0 Safari/605.1.15",Nonword,RIGHT,04-10-21,04-10-21,11:26:42,0,0,0,0,0,255,3.6.1,98,,right,1921,900,1440,24,900,24,0,0,1440,bircle-rount,MacIntel
A,Mozilla,Netscape,"5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.0 Safari/605.1.15",Nonword,RIGHT,04-10-21,04-10-21,11:26:42,0,0,0,0,0,255,3.6.1,98,,right,1098,900,1440,24,900,24,0,0,1440,dosk-dawl,MacIntel
A,Mozilla,Netscape,"5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.0 Safari/605.1.15",Nonword,RIGHT,04-10-21,04-10-21,11:26:42,0,0,0,0,0,255,3.6.1,98,,right,991,900,1440,24,900,24,0,0,1440,nock-kry,MacIntel
A,Mozilla,Netscape,"5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.0 Safari/605.1.15",Nonword,RIGHT,04-10-21,04-10-21,11:26:42,0,0,0,0,0,255,3.6.1,98,,right,1180,900,1440,24,900,24,0,0,1440,fion-siger,MacIntel
A,Mozilla,Netscape,"5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.0 Safari/605.1.15",Filler,RIGHT,04-10-21,04-10-21,11:26:42,0,0,0,0,0,255,3.6.1,98,,right,2166,900,1440,24,900,24,0,0,1440,porry-cent,MacIntel
A,Mozilla,Netscape,"5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.0 Safari/605.1.15",Filler,RIGHT,04-10-21,04-10-21,11:26:42,0,0,0,0,0,255,3.6.1,98,,right,1813,900,1440,24,900,24,0,0,1440,bitter-sweax,MacIntel
A,Mozilla,Netscape,"5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.0 Safari/605.1.15",Filler,RIGHT,04-10-21,04-10-21,11:26:42,0,0,0,0,0,255,3.6.1,98,,right,1162,900,1440,24,900,24,0,0,1440,brothog-sister,MacIntel
A,Mozilla,Netscape,"5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.0 Safari/605.1.15",Related,LEFT,04-10-21,04-10-21,11:26:42,0,0,0,0,0,255,3.6.1,98,,left,1118,900,1440,24,900,24,0,0,1440,lost-found,MacIntel
A,Mozilla,Netscape,"5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.0 Safari/605.1.15",Nonword,RIGHT,04-10-21,04-10-21,11:26:42,0,0,0,0,0,255,3.6.1,98,,right,1226,900,1440,24,900,24,0,0,1440,gammer-yail,MacIntel
A,Mozilla,Netscape,"5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.0 Safari/605.1.15",Unrelated,LEFT,04-10-21,04-10-21,11:26:42,0,0,0,0,0,255,3.6.1,98,,left,1402,900,1440,24,900,24,0,0,1440,limp-tiger,MacIntel
A,Mozilla,Netscape,"5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.0 Safari/605.1.15",Related,LEFT,04-10-21,04-10-21,11:26:42,0,0,0,0,0,255,3.6.1,98,,left,1152,900,1440,24,900,24,0,0,1440,lock-key,MacIntel
A,Mozilla,Netscape,"5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.0 Safari/605.1.15",Filler,RIGHT,04-10-21,04-10-21,11:26:42,0,0,0,0,0,255,3.6.1,98,,left,1433,900,1440,24,900,24,0,0,1440,green-gliss,MacIntel
A,Mozilla,Netscape,"5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.0 Safari/605.1.15",Nonword,RIGHT,04-10-21,04-10-21,11:26:42,0,0,0,0,0,255,3.6.1,98,,right,1248,900,1440,24,900,24,0,0,1440,fing-sueen,MacIntel
A,Mozilla,Netscape,"5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.0 Safari/605.1.15",Filler,RIGHT,04-10-21,04-10-21,11:26:42,0,0,0,0,0,255,3.6.1,98,,right,1285,900,1440,24,900,24,0,0,1440,cabbage-lottir,MacIntel
A,Mozilla,Netscape,"5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.0 Safari/605.1.15",Unrelated,LEFT,04-10-21,04-10-21,11:26:42,0,0,0,0,0,255,3.6.1,98,,left,1112,900,1440,24,900,24,0,0,1440,pot-cold,MacIntel
A,Mozilla,Netscape,"5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.0 Safari/605.1.15",Unrelated,LEFT,04-10-21,04-10-21,11:26:42,0,0,0,0,0,255,3.6.1,98,,left,964,900,1440,24,900,24,0,0,1440,purse-doctor,MacIntel
A,Mozilla,Netscape,"5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.0 Safari/605.1.15",Related,LEFT,04-10-21,04-10-21,11:26:42,0,0,0,0,0,255,3.6.1,98,,left,831,900,1440,24,900,24,0,0,1440,circle-round,MacIntel
A,Mozilla,Netscape,"5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.0 Safari/605.1.15",Unrelated,LEFT,04-10-21,04-10-21,11:26:42,0,0,0,0,0,255,3.6.1,98,,left,1388,900,1440,24,900,24,0,0,1440,glider-web,MacIntel
A,Mozilla,Netscape,"5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.0 Safari/605.1.15",Unrelated,LEFT,04-10-21,04-10-21,11:26:42,0,0,0,0,0,255,3.6.1,98,,left,632,900,1440,24,900,24,0,0,1440,dish-dawn,MacIntel
A,Mozilla,Netscape,"5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.0 Safari/605.1.15",Filler,RIGHT,04-10-21,04-10-21,11:26:42,0,0,0,0,0,255,3.6.1,98,,right,1232,900,1440,24,900,24,0,0,1440,neibon-thread,MacIntel
A,Mozilla,Netscape,"5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.0 Safari/605.1.15",Related,LEFT,04-10-21,04-10-21,11:26:42,0,0,0,0,0,255,3.6.1,98,,left,903,900,1440,24,900,24,0,0,1440,plant-flower,MacIntel
A,Mozilla,Netscape,"5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.0 Safari/605.1.15",Nonword,RIGHT,04-10-21,04-10-21,11:26:42,0,0,0,0,0,255,3.6.1,98,,right,817,900,1440,24,900,24,0,0,1440,slom-wast,MacIntel
A,Mozilla,Netscape,"5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.0 Safari/605.1.15",Related,LEFT,04-10-21,04-10-21,11:26:42,0,0,0,0,0,255,3.6.1,98,,left,758,900,1440,24,900,24,0,0,1440,lion-tiger,MacIntel
A,Mozilla,Netscape,"5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.0 Safari/605.1.15",Unrelated,LEFT,04-10-21,04-10-21,11:26:42,0,0,0,0,0,255,3.6.1,98,,left,886,900,1440,24,900,24,0,0,1440,yours-old,MacIntel
A,Mozilla,Netscape,"5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.0 Safari/605.1.15",Filler,RIGHT,04-10-21,04-10-21,11:26:42,0,0,0,0,0,255,3.6.1,98,,right,739,900,1440,24,900,24,0,0,1440,nirey-south,MacIntel
A,Mozilla,Netscape,"5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.0 Safari/605.1.15",Nonword,RIGHT,04-10-21,04-10-21,11:26:42,0,0,0,0,0,255,3.6.1,98,,right,1071,900,1440,24,900,24,0,0,1440,barth-groond,MacIntel
A,Mozilla,Netscape,"5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.0 Safari/605.1.15",Nonword,RIGHT,04-10-21,04-10-21,11:26:42,0,0,0,0,0,255,3.6.1,98,,right,1403,900,1440,24,900,24,0,0,1440,rable-chait,MacIntel
A,Mozilla,Netscape,"5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.0 Safari/605.1.15",Related,LEFT,04-10-21,04-10-21,11:26:42,0,0,0,0,0,255,3.6.1,98,,left,1242,900,1440,24,900,24,0,0,1440,early-ground,MacIntel
A,Mozilla,Netscape,"5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.0 Safari/605.1.15",Nonword,RIGHT,04-10-21,04-10-21,11:26:42,0,0,0,0,0,255,3.6.1,98,,right,1036,900,1440,24,900,24,0,0,1440,arsy-goldier,MacIntel
A,Mozilla,Netscape,"5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.0 Safari/605.1.15",Filler,RIGHT,04-10-21,04-10-21,11:26:42,0,0,0,0,0,255,3.6.1,98,,right,603,900,1440,24,900,24,0,0,1440,boeh-ale,MacIntel
A,Mozilla,Netscape,"5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.0 Safari/605.1.15",Unrelated,LEFT,04-10-21,04-10-21,11:26:42,0,0,0,0,0,255,3.6.1,98,,right,1320,900,1440,24,900,24,0,0,1440,cost-found,MacIntel
A,Mozilla,Netscape,"5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.0 Safari/605.1.15",Related,LEFT,04-10-21,04-10-21,11:26:42,0,0,0,0,0,255,3.6.1,98,,left,753,900,1440,24,900,24,0,0,1440,true-false,MacIntel
A,Mozilla,Netscape,"5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.0 Safari/605.1.15",Related,LEFT,04-10-21,04-10-21,11:26:42,0,0,0,0,0,255,3.6.1,98,,left,858,900,1440,24,900,24,0,0,1440,leaf-stem,MacIntel
A,Mozilla,Netscape,"5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.0 Safari/605.1.15",Related,LEFT,04-10-21,04-10-21,11:26:42,0,0,0,0,0,255,3.6.1,98,,left,1068,900,1440,24,900,24,0,0,1440,army-soldier,MacIntel
A,Mozilla,Netscape,"5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.0 Safari/605.1.15",Unrelated,LEFT,04-10-21,04-10-21,11:26:42,0,0,0,0,0,255,3.6.1,98,,left,613,900,1440,24,900,24,0,0,1440,wife-death,MacIntel
A,Mozilla,Netscape,"5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.0 Safari/605.1.15",Nonword,RIGHT,04-10-21,04-10-21,11:26:42,0,0,0,0,0,255,3.6.1,98,,right,1031,900,1440,24,900,24,0,0,1440,furse-loctor,MacIntel
A,Mozilla,Netscape,"5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.0 Safari/605.1.15",Related,LEFT,04-10-21,04-10-21,11:26:42,0,0,0,0,0,255,3.6.1,98,,left,949,900,1440,24,900,24,0,0,1440,wash-rinse,MacIntel
A,Mozilla,Netscape,"5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.0 Safari/605.1.15",Related,LEFT,04-10-21,04-10-21,11:26:42,0,0,0,0,0,255,3.6.1,98,,left,778,900,1440,24,900,24,0,0,1440,tune-false,MacIntel
A,Mozilla,Netscape,"5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.0 Safari/605.1.15",Unrelated,LEFT,04-10-21,04-10-21,11:26:42,0,0,0,0,0,255,3.6.1,98,,right,861,900,1440,24,900,24,0,0,1440,slant-flower,MacIntel
A,Mozilla,Netscape,"5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.0 Safari/605.1.15",Nonword,RIGHT,04-10-21,04-10-21,11:26:42,0,0,0,0,0,255,3.6.1,98,,left,1638,900,1440,24,900,24,0,0,1440,talp-chort,MacIntel
A,Mozilla,Netscape,"5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.0 Safari/605.1.15",Unrelated,LEFT,04-10-21,04-10-21,11:26:42,0,0,0,0,0,255,3.6.1,98,,right,1016,900,1440,24,900,24,0,0,1440,cash-rinse,MacIntel
A,Mozilla,Netscape,"5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.0 Safari/605.1.15",Filler,RIGHT,04-10-21,04-10-21,11:26:42,0,0,0,0,0,255,3.6.1,98,,right,913,900,1440,24,900,24,0,0,1440,honip-bee,MacIntel
A,Mozilla,Netscape,"5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.0 Safari/605.1.15",Filler,RIGHT,04-10-21,04-10-21,11:26:42,0,0,0,0,0,255,3.6.1,98,,right,1497,900,1440,24,900,24,0,0,1440,bosh-water,MacIntel
A,Mozilla,Netscape,"5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.0 Safari/605.1.15",Related,LEFT,04-10-21,04-10-21,11:26:42,0,0,0,0,0,255,3.6.1,98,,left,811,900,1440,24,900,24,0,0,1440,young-old,MacIntel
A,Mozilla,Netscape,"5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.0 Safari/605.1.15",Unrelated,LEFT,04-10-21,04-10-21,11:26:42,0,0,0,0,0,255,3.6.1,98,,left,1898,900,1440,24,900,24,0,0,1440,carves-round,MacIntel
A,Mozilla,Netscape,"5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.0 Safari/605.1.15",Related,LEFT,04-10-21,04-10-21,11:26:42,0,0,0,0,0,255,3.6.1,98,,left,693,900,1440,24,900,24,0,0,1440,joy-happy,MacIntel
A,Mozilla,Netscape,"5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.0 Safari/605.1.15",Unrelated,LEFT,04-10-21,04-10-21,11:26:42,0,0,0,0,0,255,3.6.1,98,,left,1259,900,1440,24,900,24,0,0,1440,till-short,MacIntel
