item;n_trials;err;rt;sd;rtz;n_used;c_freq_movies;lc_freq_movies;c_freq_books;lc_freq_books;n_letters;n_syllables
abaissa;25;0,04;721,8333333;106,4161914;-0,035016638;24;0;#NAME?;2,64;0,421603927;7;3
abaissait;25;0,08;836,7826087;257,7780858;0,36651701;23;0,02;-1,698970004;2,5;0,397940009;9;3
abaissant;26;0;773,84;224,3787126;0,254392101;25;0,04;-1,397940009;2,77;0,442479769;9;3
abaisse;25;0,04;698,826087;246,667913;-0,216788236;23;1,3;0,113943352;3,45;0,537819095;7;2
abaissé;25;0;656,7826087;177,0248972;-0,434543521;23;0,77;-0,113509275;1,55;0,190331698;7;3
abaissement;26;0;867,3076923;298,3627013;0,718932631;26;0,31;-0,508638306;2,16;0,334453751;11;3
abaisser;25;0,08;810,5909091;252,0860887;0,068593406;22;1,09;0,037426498;2,91;0,463892989;8;3
abaissez;25;0,04;653,173913;131,2248771;-0,377717817;23;0,53;-0,27572413;0,07;-1,15490196;8;3
abandon;25;0,04;639,7916667;185,3705992;-0,451450855;24;4,77;0,678518379;25,2;1,401400541;7;3
abandonna;24;0;661,375;166,2506783;-0,468308127;24;0,59;-0,229147988;8,92;0,950364854;9;4
abandonnai;24;0,166666667;694;211,5676934;-0,080347367;19;0,27;-0,568636236;2,16;0,334453751;10;4
abandonnaient;25;0;760,2608696;269,1785851;0,163889473;23;0,07;-1,15490196;1,55;0,190331698;13;4
abandonnais;25;0,08;836,4347826;235,3032523;0,675710432;23;0,35;-0,455931956;1,49;0,173186268;11;4
abandonnait;25;0,04;704,8333333;162,5414106;-0,127014445;24;1,04;0,017033339;9,46;0,975891136;11;4
abandonnant;24;0;708,6521739;239,2063789;-0,259644424;23;1,15;0,06069784;9,93;0,996949248;11;4
abandonne;23;0;739,2173913;180,821096;0,147773907;23;24,04;1,380934463;15,54;1,191451014;9;3
abandonné;25;0;659,12;148,6033086;-0,434353244;25;26,4;1,421603927;32,37;1,510142699;9;4
abandonnée;24;0,041666667;623,2608696;146,7053997;-0,475079752;23;10,28;1,011993115;17,9;1,252853031;10;4
abandonnées;24;0;685,625;177,9410778;-0,317175718;24;1,71;0,23299611;5,67;0,753583059;11;4
abandonnent;24;0;748,6666667;255,8407566;-0,087290775;24;2,44;0,387389826;2,64;0,421603927;11;3
abandonner;24;0;638,4583333;147,1949252;-0,35486054;24;28,37;1,452859336;27,7;1,442479769;10;4
abandonnera;24;0,041666667;718,0434783;159,2857576;-0,051238294;23;1,52;0,181843588;0,81;-0,091514981;11;4
abandonnerai;24;0;805;226,7641947;0,397818101;23;2,39;0,378397901;0,41;-0,387216143;12;4
abandonnerais;25;0,08;901,7391304;299,8113373;0,838571439;23;0,93;-0,031517051;0,27;-0,568636236;13;4
abandonnèrent;25;0;716,88;161,4017555;0,105282432;25;0,16;-0,795880017;1,42;0,152288344;13;4
abandonnes;24;0,083333333;788,25;256,5122086;0,534989323;20;4,13;0,615950052;0,14;-0,853871964;10;3
abandonnés;24;0;612,7083333;133,7738127;-0,579670446;24;4,6;0,662757832;9,66;0,984977126;10;4
abandonnez;25;0;607,6;92,28714248;-0,545687623;25;5,72;0,757396029;0,88;-0,055517328;10;4
abandons;25;0,12;711,2727273;201,0927722;0,148547119;22;0,07;-1,15490196;2,16;0,334453751;8;3
abasourdi;25;0,12;792;231,3949417;0,477259844;22;0,59;-0,229147988;4,12;0,614897216;9;4
abat;49;0,081632653;745,8;220,5561771;0,211684893;45;2,28;0,357934847;5,13;0,710117365;4;2
abatis;24;0,166666667;901,8947368;296,3361257;0,682350006;19;0;#NAME?;0,88;-0,055517328;6;3
abats;23;0;751,7391304;217,7607564;-0,006031833;23;2,31;0,36361198;1,35;0,130333768;5;2
abattage;25;0,04;783,875;268,4169878;0,071617784;24;0,63;-0,200659451;1,15;0,06069784;8;3
abattaient;24;0,041666667;740;155,4053351;0,152672964;23;0,06;-1,22184875;2,36;0,372912003;10;3
abattait;24;0;694,5833333;159,1996058;-0,222558229;24;0,42;-0,37675071;3,45;0,537819095;8;3
abattant;24;0;756,7083333;230,5874312;0,148537356;24;0,36;-0,443697499;2,5;0,397940009;8;3
abattement;25;0,04;705,5416667;158,4654617;-0,181817199;24;0,17;-0,769551079;2,36;0,372912003;10;3
abattent;24;0,041666667;680,5454545;190,4007621;-0,165532545;22;0,69;-0,161150909;2,03;0,307496038;8;2
abattez;25;0;655,28;174,5299688;-0,486647641;25;2,21;0,344392274;0;#NAME?;7;3
abattis;25;0,2;860,05;289,3203424;0,541274238;20;0,14;-0,853871964;1,35;0,130333768;7;3
abattit;25;0,04;712,375;196,0837914;0,135038117;24;0,34;-0,468521083;5,07;0,705007959;7;3
abattoir;26;0;713,3846154;215,7053689;-0,316742378;26;2,67;0,426511261;2,36;0,372912003;8;3
abattoirs;24;0,083333333;709,0909091;145,8302696;-0,090324449;22;0,48;-0,318758763;2,3;0,361727836;9;3
abattra;24;0,041666667;805,5652174;274,2438905;0,24372543;23;1,51;0,178976947;0,61;-0,214670165;7;3
abattraient;24;0,125;834,8095238;277,0584088;0,450119578;21;0,03;-1,522878745;0,07;-1,15490196;11;3
abattrait;25;0;785,6666667;232,2084271;0,339257373;24;0,63;-0,200659451;0,41;-0,387216143;9;3
abattre;25;0,04;663;176,1360528;-0,174396518;23;14,43;1,159266331;14,32;1,155943018;7;2
abattriez;25;0,28;830,9444444;264,7739263;0,458290491;18;0,02;-1,698970004;0;#NAME?;9;4
abattront;25;0,04;777,3478261;189,6330449;0,322154844;23;0,34;-0,468521083;0,07;-1,15490196;9;3
abattu;24;0,083333333;672,4285714;218,5215256;-0,451563784;21;13,48;1,129689892;12,43;1,094471129;6;3
abattue;23;0;634,4347826;133,1420383;-0,559770202;23;2,37;0,374748346;3,98;0,599883072;7;3
abattus;23;0;661,6521739;190,8542063;-0,306324451;23;3,24;0,51054501;3,71;0,56937391;7;3
abbaye;24;0,041666667;800,3913043;272,6917572;0,287331693;23;3,66;0,563481085;3,31;0,519827994;6;3
abbé;25;0,2;780,55;170,5734832;0,538425927;20;4,19;0,622214023;31,28;1,495266744;4;2
abbés;23;0,217391304;851,2777778;180,7949132;0,522654518;18;0,02;-1,698970004;1,22;0,086359831;5;2
abcès;25;0,16;763,7142857;216,1483617;0,217625484;21;1,79;0,252853031;3,31;0,519827994;5;2
abdication;25;0,24;908,0588235;132,4129292;0,945376871;17;0,05;-1,301029996;1,82;0,260071388;10;4
abdomen;25;0,04;743,9166667;252,6525225;0,097891555;24;2,76;0,440909082;1,55;0,190331698;7;3
abdos;24;0,166666667;784,6842105;145,2056215;0,41633528;19;0,86;-0,065501549;0;#NAME?;5;2
abeille;25;0;646,8333333;234,9574738;-0,26502622;24;3,53;0,547774705;3,18;0,50242712;7;2
abeilles;26;0;640,8461538;149,9044208;-0,443175046;26;5,59;0,747411808;6,69;0,825426118;8;2
aberrant;24;0,25;866,1111111;241,6236473;1,150167767;18;0,58;-0,236572006;1,28;0,10720997;8;3
aberration;26;0,192307692;901,05;204,701445;0,901437711;20;0,89;-0,050609993;3,31;0,519827994;10;4
aberrations;23;0,260869565;983,1176471;333,7302208;1,109039736;17;0,27;-0,568636236;1,15;0,06069784;11;4
abêti;25;0,8;860;490,6888016;0,598301174;5;0;#NAME?;0,61;-0,214670165;5;3
abêtir;24;0,708333333;861,7142857;155,1372664;0,946832883;7;0,01;-2;0,54;-0,26760624;6;3
abêtis;24;0,625;823,8571429;163,3844429;0,237898115;7;0;#NAME?;0,14;-0,853871964;6;3
abhorrant;23;0,695652174;1005,666667;169,9360664;1,96662515;6;0,01;-2;0,07;-1,15490196;9;3
abhorré;25;0,68;1018,714286;184,6724256;1,317464326;7;0,01;-2;0,47;-0,327902142;7;3
abîma;24;0,041666667;655,3913043;128,8447759;-0,147746712;23;0,1;-1;0,74;-0,13076828;5;3
abîmaient;26;0;745,96;144,3134551;0,069868107;25;0,1;-1;0,2;-0,698970004;9;3
abîmait;23;0;754;178,2788929;-0,019702983;23;0,01;-2;1,22;0,086359831;7;3
abîme;24;0,041666667;657,2173913;187,7740316;-0,39300207;23;7,24;0,859738566;16,75;1,224014811;5;2
abîmé;24;0;632,0416667;121,0089753;-0,428560871;24;3,57;0,552668216;4,73;0,674861141;5;3
abîmée;25;0,04;725,5833333;233,5338941;-0,038530283;24;1,73;0,238046103;1,76;0,245512668;6;3
abîmer;24;0;638,0833333;104,7539214;-0,410133594;24;5,4;0,73239376;5,95;0,774516966;6;3
abîmeras;25;0,16;843,1904762;217,6599685;0,596451455;21;0;#NAME?;0,14;-0,853871964;8;3
abîmes;24;0;643,75;109,9933792;-0,421287041;24;1,7;0,230448921;6,21;0,7930916;6;2
abîmés;25;0,08;606,1304348;118,5420157;-0,750027958;23;0,61;-0,214670165;1,35;0,130333768;6;3
abîmez;25;0,04;617,9166667;139,8132035;-0,45534994;24;0,3;-0,522878745;0,2;-0,698970004;6;3
abject;25;0,08;856,6956522;287,0247748;0,59528214;23;1,4;0,146128036;1,69;0,227886705;6;2
abjecte;25;0,16;815,4761905;174,1633196;0,368221222;21;0,69;-0,161150909;1,49;0,173186268;7;2
abjection;25;0,24;804,4444444;310,042544;0,451833358;18;0,37;-0,431798276;2,16;0,334453751;9;3
abjurer;24;0,375;1047,5;295,7867605;1,520157342;14;0,22;-0,657577319;0,68;-0,167491087;7;3
ablation;25;0,08;826,6363636;213,1162315;0,516154521;22;0,43;-0,366531544;1,28;0,10720997;8;3
ablations;25;0,32;900,1333333;251,1518797;0,861686697;15;0,03;-1,522878745;0,07;-1,15490196;9;3
ablutions;24;0,666666667;922,2857143;329,4559729;1,256965835;7;0,47;-0,327902142;1,42;0,152288344;9;3
