acc,accuracy,average_response_time,avg_rt,background,bidi,block,browser_codename,browser_name,browser_version,canvas_backend,clock_backend,color_backend,compensation,coordinates,correct,correct_keyboard_response,correct_response,count_ISI,count_break1,count_break_2,count_correct_feedback,count_credits,count_experiment,count_experimentLoop,count_fixation,count_incorrect_feedback,count_instructions1a,count_instructions1b,count_instructions2,count_keyboard_response,count_memory_set,count_new_logger,count_osweb,count_practiceLoop,count_practiceSequence,count_probe,count_thankYou,date_startdate,date_startdateUTC,date_starttime,datetime,description,disable_garbage_collection,experiment_debug,experiment_parameters,experiment_path,experiment_pilot,experiment_taskname,experiment_taskversion,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,jatosStudyResultId,jatosVersion,keyboard_backend,mouse_backend,numberSet,opensesame_codename,opensesame_version,penwidth,posInSet,present,queryParams_batchId,queryParams_generalMultiple,repeat_cycle,response,response_break1,response_break_2,response_instructions1a,response_instructions1b,response_instructions2,response_keyboard_response,response_time,response_time_break1,response_time_break_2,response_time_instructions1a,response_time_instructions1b,response_time_instructions2,response_time_keyboard_response,round_decimals,sampler_backend,screen_availableHeight,screen_availableWidth,screen_colorDepth,screen_height,screen_pixelDepth,screen_screenX,screen_screenY,screen_width,sessionid,setSize,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,subject_nr,subject_parity,system_os,target,time_ISI,time_break1,time_break_2,time_correct_feedback,time_experimentLoop,time_fixation,time_incorrect_feedback,time_instructions1a,time_instructions1b,time_instructions2,time_keyboard_response,time_memory_set,time_new_logger,time_practiceLoop,time_probe,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
100,100,1419,1419,black,no,practice,Mozilla,Netscape,"5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.61 Safari/537.36",legacy,legacy,legacy,0,uniform,1,1,left,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30-08-21,30-08-21,09:18:10,Thu Sep 30 2021 09:18:10 GMT+0200 (hora de verano de Europa central),The main experiment item,yes,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files,0,0,0,no,mono,no,18,no,white,no,no,768,108,3.6.1,legacy,legacy,9 6 7 4 5,osweb,1.4.0,1,0,n,37,,0,left,,,right,right,,left,1419,,,20405,10982,,1419,2,legacy,824,1536,24,864,24,0,0,1536,1632986343797,5,1024,2,48000,-16,experiment,0,even,Win32,3,33811,,,,111,31584,,111,20518,,35831,32595,37261,111,35830,Sternberg_updated,1,1419,1,yes,1024
50,50,1068,1068,black,no,practice,Mozilla,Netscape,"5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.61 Safari/537.36",legacy,legacy,legacy,0,uniform,0,0,right,1,1,1,1,0,0,0,1,1,0,0,0,1,1,1,0,0,1,1,0,30-08-21,30-08-21,09:18:10,Thu Sep 30 2021 09:18:10 GMT+0200 (hora de verano de Europa central),The main experiment item,yes,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files,0,0,0,no,mono,no,18,no,white,no,no,768,108,3.6.1,legacy,legacy,4 3 1 7 9 8,osweb,1.4.0,1,1,y,37,,0,left,,,right,right,,left,716,,,20405,10982,,716,2,legacy,824,1536,24,864,24,0,0,1536,1632986343797,6,1024,2,48000,-16,experiment,0,even,Win32,4,40529,,,37264,111,38312,,111,20518,,42545,39328,43277,111,42545,Sternberg_updated,1,2135,2,yes,1024
67,67,1045,1045,black,no,practice,Mozilla,Netscape,"5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.61 Safari/537.36",legacy,legacy,legacy,0,uniform,1,1,left,2,2,2,2,0,0,0,2,2,0,0,0,2,2,2,0,0,2,2,0,30-08-21,30-08-21,09:18:10,Thu Sep 30 2021 09:18:10 GMT+0200 (hora de verano de Europa central),The main experiment item,yes,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files,0,0,0,no,mono,no,18,no,white,no,no,768,108,3.6.1,legacy,legacy,4 1 5,osweb,1.4.0,1,0,n,37,,0,left,,,right,right,,left,999,,,20405,10982,,999,2,legacy,824,1536,24,864,24,0,0,1536,1632986343797,3,1024,2,48000,-16,experiment,0,even,Win32,2,46544,,,37264,111,44323,43279,111,20518,,48561,45328,49561,111,48561,Sternberg_updated,2,3134,3,yes,1024
75,75,998,998,black,no,practice,Mozilla,Netscape,"5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.61 Safari/537.36",legacy,legacy,legacy,0,uniform,1,1,right,3,3,3,3,0,0,0,3,3,0,0,0,3,3,3,0,0,3,3,0,30-08-21,30-08-21,09:18:10,Thu Sep 30 2021 09:18:10 GMT+0200 (hora de verano de Europa central),The main experiment item,yes,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files,0,0,0,no,mono,no,18,no,white,no,no,768,108,3.6.1,legacy,legacy,4 8,osweb,1.4.0,1,1,y,37,,0,right,,,right,right,,right,857,,,20405,10982,,857,2,legacy,824,1536,24,864,24,0,0,1536,1632986343797,2,1024,2,48000,-16,experiment,0,even,Win32,4,52828,,,49562,111,50603,43279,111,20518,,54845,51612,55711,111,54845,Sternberg_updated,3,3991,4,yes,1024
80,80,943,943,black,no,practice,Mozilla,Netscape,"5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.61 Safari/537.36",legacy,legacy,legacy,0,uniform,1,1,right,4,4,4,4,0,0,0,4,4,0,0,0,4,4,4,0,0,4,4,0,30-08-21,30-08-21,09:18:10,Thu Sep 30 2021 09:18:10 GMT+0200 (hora de verano de Europa central),The main experiment item,yes,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files,0,0,0,no,mono,no,18,no,white,no,no,768,108,3.6.1,legacy,legacy,1 5 2 9,osweb,1.4.0,1,2,y,37,,0,right,,,right,right,,right,722,,,20405,10982,,722,2,legacy,824,1536,24,864,24,0,0,1536,1632986343797,4,1024,2,48000,-16,experiment,0,even,Win32,5,58978,,,55712,111,56753,43279,111,20518,,60979,57761,61711,111,60979,Sternberg_updated,4,4713,5,yes,1024
83,83,998,998,black,no,practice,Mozilla,Netscape,"5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.61 Safari/537.36",legacy,legacy,legacy,0,uniform,1,1,right,5,5,5,5,0,0,0,5,5,0,0,0,5,5,5,0,0,5,5,0,30-08-21,30-08-21,09:18:10,Thu Sep 30 2021 09:18:10 GMT+0200 (hora de verano de Europa central),The main experiment item,yes,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files,0,0,0,no,mono,no,18,no,white,no,no,768,108,3.6.1,legacy,legacy,6,osweb,1.4.0,1,1,y,37,,0,right,,,right,right,,right,1272,,,20405,10982,,1272,2,legacy,824,1536,24,864,24,0,0,1536,1632986343797,1,1024,2,48000,-16,experiment,0,even,Win32,6,64978,,,61712,111,62752,43279,111,20518,,66980,63762,68261,111,66980,Sternberg_updated,5,5985,6,yes,1024
86,86,931,931,black,no,practice,Mozilla,Netscape,"5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.61 Safari/537.36",legacy,legacy,legacy,0,uniform,1,1,right,6,6,6,6,0,0,0,6,6,0,0,0,6,6,6,0,0,6,6,0,30-08-21,30-08-21,09:18:10,Thu Sep 30 2021 09:18:10 GMT+0200 (hora de verano de Europa central),The main experiment item,yes,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files,0,0,0,no,mono,no,18,no,white,no,no,768,108,3.6.1,legacy,legacy,2 9 4,osweb,1.4.0,1,3,y,37,,0,right,,,right,right,,right,534,,,20405,10982,,534,2,legacy,824,1536,24,864,24,0,0,1536,1632986343797,3,1024,2,48000,-16,experiment,0,even,Win32,4,71513,,,68262,111,69302,43279,111,20518,,73528,70311,74077,111,73528,Sternberg_updated,6,6519,7,yes,1024
88,88,897,897,black,no,practice,Mozilla,Netscape,"5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.61 Safari/537.36",legacy,legacy,legacy,0,uniform,1,1,left,7,7,7,7,0,0,0,7,7,0,0,0,7,7,7,0,0,7,7,0,30-08-21,30-08-21,09:18:10,Thu Sep 30 2021 09:18:10 GMT+0200 (hora de verano de Europa central),The main experiment item,yes,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files,0,0,0,no,mono,no,18,no,white,no,no,768,108,3.6.1,legacy,legacy,3 1 9 4,osweb,1.4.0,1,0,n,37,,0,left,,,right,right,,left,655,,,20405,10982,,655,2,legacy,824,1536,24,864,24,0,0,1536,1632986343797,4,1024,2,48000,-16,experiment,0,even,Win32,6,77344,,,74079,111,75120,43279,111,20518,,79361,76128,80028,111,79361,Sternberg_updated,7,7174,8,yes,1024
89,89,888,888,black,no,practice,Mozilla,Netscape,"5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.61 Safari/537.36",legacy,legacy,legacy,0,uniform,1,1,left,8,8,8,8,0,0,0,8,8,0,0,0,8,8,8,0,0,8,8,0,30-08-21,30-08-21,09:18:10,Thu Sep 30 2021 09:18:10 GMT+0200 (hora de verano de Europa central),The main experiment item,yes,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files,0,0,0,no,mono,no,18,no,white,no,no,768,108,3.6.1,legacy,legacy,5,osweb,1.4.0,1,0,n,37,,0,left,,,right,right,,left,822,,,20405,10982,,822,2,legacy,824,1536,24,864,24,0,0,1536,1632986343797,1,1024,2,48000,-16,experiment,0,even,Win32,3,83294,,,80029,111,81070,43279,111,20518,,85313,82078,86144,111,85313,Sternberg_updated,8,7996,9,yes,1024
90,90,882,882,black,no,practice,Mozilla,Netscape,"5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.61 Safari/537.36",legacy,legacy,legacy,0,uniform,1,1,left,9,9,9,9,0,0,0,9,9,0,0,0,9,9,9,0,0,9,9,0,30-08-21,30-08-21,09:18:10,Thu Sep 30 2021 09:18:10 GMT+0200 (hora de verano de Europa central),The main experiment item,yes,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files,0,0,0,no,mono,no,18,no,white,no,no,768,108,3.6.1,legacy,legacy,5 7 8 4 1 2,osweb,1.4.0,1,0,n,37,,0,left,,,right,right,,left,827,,,20405,10982,,827,2,legacy,824,1536,24,864,24,0,0,1536,1632986343797,6,1024,2,48000,-16,experiment,0,even,Win32,6,89411,,,86146,111,87185,43279,111,20518,,91429,88194,92260,111,91429,Sternberg_updated,9,8823,10,yes,1024
