acc,accuracy,average_response_time,avg_rt,background,bidi,block,browser_codename,browser_name,browser_version,canvas_backend,clock_backend,color_backend,compensation,coordinates,correct,correct_keyboard_response,correct_response,count_ISI,count_break1,count_break_2,count_correct_feedback,count_credits,count_experiment,count_experimentLoop,count_fixation,count_incorrect_feedback,count_instructions1a,count_instructions1b,count_instructions2,count_keyboard_response,count_memory_set,count_new_logger,count_osweb,count_practiceLoop,count_practiceSequence,count_probe,count_thankYou,date_startdate,date_startdateUTC,date_starttime,datetime,description,disable_garbage_collection,experiment_debug,experiment_parameters,experiment_path,experiment_pilot,experiment_taskname,experiment_taskversion,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,jatosStudyResultId,jatosVersion,keyboard_backend,mouse_backend,numberSet,opensesame_codename,opensesame_version,penwidth,posInSet,present,queryParams_batchId,queryParams_generalMultiple,repeat_cycle,response,response_break1,response_break_2,response_instructions1a,response_instructions1b,response_instructions2,response_keyboard_response,response_time,response_time_break1,response_time_break_2,response_time_instructions1a,response_time_instructions1b,response_time_instructions2,response_time_keyboard_response,round_decimals,sampler_backend,screen_availableHeight,screen_availableWidth,screen_colorDepth,screen_height,screen_pixelDepth,screen_screenX,screen_screenY,screen_width,sessionid,setSize,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,subject_nr,subject_parity,system_os,target,time_ISI,time_break1,time_break_2,time_correct_feedback,time_experimentLoop,time_fixation,time_incorrect_feedback,time_instructions1a,time_instructions1b,time_instructions2,time_keyboard_response,time_memory_set,time_new_logger,time_practiceLoop,time_probe,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
100,100,1097,1097,black,no,practice,Mozilla,Netscape,"5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.2 Safari/605.1.15",legacy,legacy,legacy,0,uniform,1,1,right,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29-08-21,29-08-21,11:46:29,Wed Sep 29 2021 11:46:29 GMT+0200 (CEST),The main experiment item,yes,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files,0,0,0,no,mono,no,18,no,white,no,no,768,49,3.6.1,legacy,legacy,4 3 1 7 9 8,osweb,1.4.0,1,1,y,36,,0,right,,,rshift,right,,right,1097,,,5201,19378,,1097,2,legacy,702,1280,24,800,24,34,25,1280,1632908797680,6,1024,2,48000,-16,experiment,1,odd,MacIntel,4,26947,,,,81,24731,,81,5303,,28955,25738,30063,81,28954,Sternberg_updated,1,1097,1,yes,1024
100,100,893,893,black,no,practice,Mozilla,Netscape,"5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.2 Safari/605.1.15",legacy,legacy,legacy,0,uniform,1,1,right,1,1,1,1,0,0,0,1,1,0,0,0,1,1,1,0,0,1,1,0,29-08-21,29-08-21,11:46:29,Wed Sep 29 2021 11:46:29 GMT+0200 (CEST),The main experiment item,yes,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files,0,0,0,no,mono,no,18,no,white,no,no,768,49,3.6.1,legacy,legacy,6,osweb,1.4.0,1,1,y,36,,0,right,,,rshift,right,,right,689,,,5201,19378,,689,2,legacy,702,1280,24,800,24,34,25,1280,1632908797680,1,1024,2,48000,-16,experiment,1,odd,MacIntel,6,33315,,,30070,81,31102,,81,5303,,35324,32107,36015,81,35324,Sternberg_updated,2,1786,2,yes,1024
100,100,908,908,black,no,practice,Mozilla,Netscape,"5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.2 Safari/605.1.15",legacy,legacy,legacy,0,uniform,1,1,right,2,2,2,2,0,0,0,2,2,0,0,0,2,2,2,0,0,2,2,0,29-08-21,29-08-21,11:46:29,Wed Sep 29 2021 11:46:29 GMT+0200 (CEST),The main experiment item,yes,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files,0,0,0,no,mono,no,18,no,white,no,no,768,49,3.6.1,legacy,legacy,2 9 4,osweb,1.4.0,1,3,y,36,,0,right,,,rshift,right,,right,937,,,5201,19378,,937,2,legacy,702,1280,24,800,24,34,25,1280,1632908797680,3,1024,2,48000,-16,experiment,1,odd,MacIntel,4,39267,,,36018,81,37050,,81,5303,,41276,38058,42218,81,41276,Sternberg_updated,3,2723,3,yes,1024
100,100,914,914,black,no,practice,Mozilla,Netscape,"5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.2 Safari/605.1.15",legacy,legacy,legacy,0,uniform,1,1,left,3,3,3,3,0,0,0,3,3,0,0,0,3,3,3,0,0,3,3,0,29-08-21,29-08-21,11:46:29,Wed Sep 29 2021 11:46:29 GMT+0200 (CEST),The main experiment item,yes,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files,0,0,0,no,mono,no,18,no,white,no,no,768,49,3.6.1,legacy,legacy,4 1 5,osweb,1.4.0,1,0,n,36,,0,left,,,rshift,right,,left,932,,,5201,19378,,932,2,legacy,702,1280,24,800,24,34,25,1280,1632908797680,3,1024,2,48000,-16,experiment,1,odd,MacIntel,2,45471,,,42222,81,43254,,81,5303,,47478,44262,48418,81,47477,Sternberg_updated,4,3655,4,yes,1024
100,100,934,934,black,no,practice,Mozilla,Netscape,"5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.2 Safari/605.1.15",legacy,legacy,legacy,0,uniform,1,1,left,4,4,4,4,0,0,0,4,4,0,0,0,4,4,4,0,0,4,4,0,29-08-21,29-08-21,11:46:29,Wed Sep 29 2021 11:46:29 GMT+0200 (CEST),The main experiment item,yes,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files,0,0,0,no,mono,no,18,no,white,no,no,768,49,3.6.1,legacy,legacy,2 1,osweb,1.4.0,1,0,n,36,,0,left,,,rshift,right,,left,1017,,,5201,19378,,1017,2,legacy,702,1280,24,800,24,34,25,1280,1632908797680,2,1024,2,48000,-16,experiment,1,odd,MacIntel,5,51675,,,48422,81,49451,,81,5303,,53689,50458,54715,81,53689,Sternberg_updated,5,4672,5,yes,1024
100,100,991,991,black,no,practice,Mozilla,Netscape,"5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.2 Safari/605.1.15",legacy,legacy,legacy,0,uniform,1,1,left,5,5,5,5,0,0,0,5,5,0,0,0,5,5,5,0,0,5,5,0,29-08-21,29-08-21,11:46:29,Wed Sep 29 2021 11:46:29 GMT+0200 (CEST),The main experiment item,yes,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files,0,0,0,no,mono,no,18,no,white,no,no,768,49,3.6.1,legacy,legacy,5,osweb,1.4.0,1,0,n,36,,0,left,,,rshift,right,,left,1276,,,5201,19378,,1276,2,legacy,702,1280,24,800,24,34,25,1280,1632908797680,1,1024,2,48000,-16,experiment,1,odd,MacIntel,3,57968,,,54719,81,55748,,81,5303,,59976,56758,61267,81,59976,Sternberg_updated,6,5948,6,yes,1024
86,86,957,957,black,no,practice,Mozilla,Netscape,"5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.2 Safari/605.1.15",legacy,legacy,legacy,0,uniform,0,0,left,6,6,6,6,0,0,0,6,6,0,0,0,6,6,6,0,0,6,6,0,29-08-21,29-08-21,11:46:29,Wed Sep 29 2021 11:46:29 GMT+0200 (CEST),The main experiment item,yes,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files,0,0,0,no,mono,no,18,no,white,no,no,768,49,3.6.1,legacy,legacy,9 6 7 4 5,osweb,1.4.0,1,0,n,36,,0,right,,,rshift,right,,right,749,,,5201,19378,,749,2,legacy,702,1280,24,800,24,34,25,1280,1632908797680,5,1024,2,48000,-16,experiment,1,odd,MacIntel,3,64519,,,61271,81,62302,,81,5303,,66526,63311,67282,81,66526,Sternberg_updated,6,6697,7,yes,1024
88,88,974,974,black,no,practice,Mozilla,Netscape,"5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.2 Safari/605.1.15",legacy,legacy,legacy,0,uniform,1,1,right,7,7,7,7,0,0,0,7,7,0,0,0,7,7,7,0,0,7,7,0,29-08-21,29-08-21,11:46:29,Wed Sep 29 2021 11:46:29 GMT+0200 (CEST),The main experiment item,yes,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files,0,0,0,no,mono,no,18,no,white,no,no,768,49,3.6.1,legacy,legacy,4 8,osweb,1.4.0,1,1,y,36,,0,right,,,rshift,right,,right,1091,,,5201,19378,,1091,2,legacy,702,1280,24,800,24,34,25,1280,1632908797680,2,1024,2,48000,-16,experiment,1,odd,MacIntel,4,70563,,,61271,81,68341,67286,81,5303,,72569,69359,73673,81,72569,Sternberg_updated,7,7788,8,yes,1024
89,89,951,951,black,no,practice,Mozilla,Netscape,"5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.2 Safari/605.1.15",legacy,legacy,legacy,0,uniform,1,1,left,8,8,8,8,0,0,0,8,8,0,0,0,8,8,8,0,0,8,8,0,29-08-21,29-08-21,11:46:29,Wed Sep 29 2021 11:46:29 GMT+0200 (CEST),The main experiment item,yes,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files,0,0,0,no,mono,no,18,no,white,no,no,768,49,3.6.1,legacy,legacy,5 7 8 4 1 2,osweb,1.4.0,1,0,n,36,,0,left,,,rshift,right,,left,768,,,5201,19378,,768,2,legacy,702,1280,24,800,24,34,25,1280,1632908797680,6,1024,2,48000,-16,experiment,1,odd,MacIntel,6,76926,,,73677,81,74712,67286,81,5303,,78934,75717,79709,81,78934,Sternberg_updated,8,8556,9,yes,1024
90,90,941,941,black,no,practice,Mozilla,Netscape,"5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.2 Safari/605.1.15",legacy,legacy,legacy,0,uniform,1,1,right,9,9,9,9,0,0,0,9,9,0,0,0,9,9,9,0,0,9,9,0,29-08-21,29-08-21,11:46:29,Wed Sep 29 2021 11:46:29 GMT+0200 (CEST),The main experiment item,yes,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files,0,0,0,no,mono,no,18,no,white,no,no,768,49,3.6.1,legacy,legacy,1 5 2 9,osweb,1.4.0,1,2,y,36,,0,right,,,rshift,right,,right,858,,,5201,19378,,858,2,legacy,702,1280,24,800,24,34,25,1280,1632908797680,4,1024,2,48000,-16,experiment,1,odd,MacIntel,5,82962,,,79713,81,80742,67286,81,5303,,84970,81753,85828,81,84970,Sternberg_updated,9,9414,10,yes,1024
