acc,accuracy,average_response_time,avg_rt,background,bidi,block,browser_codename,browser_name,browser_version,canvas_backend,clock_backend,color_backend,compensation,coordinates,correct,correct_keyboard_response,correct_response,count_ISI,count_break1,count_break_2,count_correct_feedback,count_credits,count_experiment,count_experimentLoop,count_fixation,count_incorrect_feedback,count_instructions1a,count_instructions1b,count_instructions2,count_keyboard_response,count_memory_set,count_new_logger,count_osweb,count_practiceLoop,count_practiceSequence,count_probe,count_thankYou,date_startdate,date_startdateUTC,date_starttime,datetime,description,disable_garbage_collection,experiment_debug,experiment_parameters,experiment_path,experiment_pilot,experiment_taskname,experiment_taskversion,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,jatosStudyResultId,jatosVersion,keyboard_backend,mouse_backend,numberSet,opensesame_codename,opensesame_version,penwidth,posInSet,present,queryParams_batchId,queryParams_generalMultiple,repeat_cycle,response,response_break1,response_break_2,response_instructions1a,response_instructions1b,response_instructions2,response_keyboard_response,response_time,response_time_break1,response_time_break_2,response_time_instructions1a,response_time_instructions1b,response_time_instructions2,response_time_keyboard_response,round_decimals,sampler_backend,screen_availableHeight,screen_availableWidth,screen_colorDepth,screen_height,screen_pixelDepth,screen_screenX,screen_screenY,screen_width,sessionid,setSize,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,subject_nr,subject_parity,system_os,target,time_ISI,time_break1,time_break_2,time_correct_feedback,time_experimentLoop,time_fixation,time_incorrect_feedback,time_instructions1a,time_instructions1b,time_instructions2,time_keyboard_response,time_memory_set,time_new_logger,time_practiceLoop,time_probe,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
100,100,1582,1582,black,no,practice,Mozilla,Netscape,5.0 (Windows),legacy,legacy,legacy,0,uniform,1,1,right,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30-08-21,30-08-21,09:16:56,Thu Sep 30 2021 09:16:56 GMT+0200 (Θερινή ώρα Κεντρικής Ευρώπης),The main experiment item,yes,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files,0,0,0,no,mono,no,18,no,white,no,no,768,99,3.6.1,legacy,legacy,4 8,osweb,1.4.0,1,1,y,37,,0,right,,,h,right,,right,1582,,,44327,18899,,1582,2,legacy,824,1536,24,864,24,-7,-7,1536,1632986216764,2,1024,2,48000,-16,experiment,1,odd,Win32,4,65570,,,,47,63346,,46,44411,,67590,64357,69183,47,67588,Sternberg_updated,1,1582,1,yes,1024
100,100,1439,1439,black,no,practice,Mozilla,Netscape,5.0 (Windows),legacy,legacy,legacy,0,uniform,1,1,left,1,1,1,1,0,0,0,1,1,0,0,0,1,1,1,0,0,1,1,0,30-08-21,30-08-21,09:16:56,Thu Sep 30 2021 09:16:56 GMT+0200 (Θερινή ώρα Κεντρικής Ευρώπης),The main experiment item,yes,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files,0,0,0,no,mono,no,18,no,white,no,no,768,99,3.6.1,legacy,legacy,5 7 8 4 1 2,osweb,1.4.0,1,0,n,37,,0,left,,,h,right,,left,1295,,,44327,18899,,1295,2,legacy,824,1536,24,864,24,-7,-7,1536,1632986216764,6,1024,2,48000,-16,experiment,1,odd,Win32,6,72447,,,69191,47,70222,,46,44411,,74465,71233,75777,47,74464,Sternberg_updated,2,2877,2,yes,1024
100,100,1278,1278,black,no,practice,Mozilla,Netscape,5.0 (Windows),legacy,legacy,legacy,0,uniform,1,1,right,2,2,2,2,0,0,0,2,2,0,0,0,2,2,2,0,0,2,2,0,30-08-21,30-08-21,09:16:56,Thu Sep 30 2021 09:16:56 GMT+0200 (Θερινή ώρα Κεντρικής Ευρώπης),The main experiment item,yes,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files,0,0,0,no,mono,no,18,no,white,no,no,768,99,3.6.1,legacy,legacy,1 7 9 8 5,osweb,1.4.0,1,4,y,37,,0,right,,,h,right,,right,958,,,44327,18899,,958,2,legacy,824,1536,24,864,24,-7,-7,1536,1632986216764,5,1024,2,48000,-16,experiment,1,odd,Win32,8,79041,,,75782,47,76813,,46,44411,,81059,77827,82021,47,81058,Sternberg_updated,3,3835,3,yes,1024
100,100,1063,1063,black,no,practice,Mozilla,Netscape,5.0 (Windows),legacy,legacy,legacy,0,uniform,1,1,right,3,3,3,3,0,0,0,3,3,0,0,0,3,3,3,0,0,3,3,0,30-08-21,30-08-21,09:16:56,Thu Sep 30 2021 09:16:56 GMT+0200 (Θερινή ώρα Κεντρικής Ευρώπης),The main experiment item,yes,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files,0,0,0,no,mono,no,18,no,white,no,no,768,99,3.6.1,legacy,legacy,2 9 4,osweb,1.4.0,1,3,y,37,,0,right,,,h,right,,right,416,,,44327,18899,,416,2,legacy,824,1536,24,864,24,-7,-7,1536,1632986216764,3,1024,2,48000,-16,experiment,1,odd,Win32,4,85268,,,82025,47,83049,,46,44411,,87285,84055,87716,47,87285,Sternberg_updated,4,4251,4,yes,1024
100,100,1029,1029,black,no,practice,Mozilla,Netscape,5.0 (Windows),legacy,legacy,legacy,0,uniform,1,1,right,4,4,4,4,0,0,0,4,4,0,0,0,4,4,4,0,0,4,4,0,30-08-21,30-08-21,09:16:56,Thu Sep 30 2021 09:16:56 GMT+0200 (Θερινή ώρα Κεντρικής Ευρώπης),The main experiment item,yes,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files,0,0,0,no,mono,no,18,no,white,no,no,768,99,3.6.1,legacy,legacy,1 5 2 9,osweb,1.4.0,1,2,y,37,,0,right,,,h,right,,right,896,,,44327,18899,,896,2,legacy,824,1536,24,864,24,-7,-7,1536,1632986216764,4,1024,2,48000,-16,experiment,1,odd,Win32,5,90980,,,87721,47,88752,,46,44411,,92998,89766,93909,47,92998,Sternberg_updated,5,5147,5,yes,1024
100,100,1078,1078,black,no,practice,Mozilla,Netscape,5.0 (Windows),legacy,legacy,legacy,0,uniform,1,1,left,5,5,5,5,0,0,0,5,5,0,0,0,5,5,5,0,0,5,5,0,30-08-21,30-08-21,09:16:56,Thu Sep 30 2021 09:16:56 GMT+0200 (Θερινή ώρα Κεντρικής Ευρώπης),The main experiment item,yes,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files,0,0,0,no,mono,no,18,no,white,no,no,768,99,3.6.1,legacy,legacy,9 6 7 4 5,osweb,1.4.0,1,0,n,37,,0,left,,,h,right,,left,1319,,,44327,18899,,1319,2,legacy,824,1536,24,864,24,-7,-7,1536,1632986216764,5,1024,2,48000,-16,experiment,1,odd,Win32,3,97157,,,93917,47,94939,,46,44411,,99174,95944,100504,47,99174,Sternberg_updated,6,6466,6,yes,1024
86,86,1211,1211,black,no,practice,Mozilla,Netscape,5.0 (Windows),legacy,legacy,legacy,0,uniform,0,0,right,6,6,6,6,0,0,0,6,6,0,0,0,6,6,6,0,0,6,6,0,30-08-21,30-08-21,09:16:56,Thu Sep 30 2021 09:16:56 GMT+0200 (Θερινή ώρα Κεντρικής Ευρώπης),The main experiment item,yes,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files,0,0,0,no,mono,no,18,no,white,no,no,768,99,3.6.1,legacy,legacy,6,osweb,1.4.0,1,1,y,37,,0,None,,,h,right,,None,2012,,,44327,18899,,2012,2,legacy,824,1536,24,864,24,-7,-7,1536,1632986216764,1,1024,2,48000,-16,experiment,1,odd,Win32,6,103768,,,100508,47,101540,,46,44411,,105785,102555,107797,47,105785,Sternberg_updated,6,8478,7,yes,1024
88,88,1198,1198,black,no,practice,Mozilla,Netscape,5.0 (Windows),legacy,legacy,legacy,0,uniform,1,1,left,7,7,7,7,0,0,0,7,7,0,0,0,7,7,7,0,0,7,7,0,30-08-21,30-08-21,09:16:56,Thu Sep 30 2021 09:16:56 GMT+0200 (Θερινή ώρα Κεντρικής Ευρώπης),The main experiment item,yes,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files,0,0,0,no,mono,no,18,no,white,no,no,768,99,3.6.1,legacy,legacy,3 1 9 4,osweb,1.4.0,1,0,n,37,,0,left,,,h,right,,left,1107,,,44327,18899,,1107,2,legacy,824,1536,24,864,24,-7,-7,1536,1632986216764,4,1024,2,48000,-16,experiment,1,odd,Win32,6,111060,,,100508,47,108833,107802,46,44411,,113079,109848,114191,47,113079,Sternberg_updated,7,9585,8,yes,1024
89,89,1232,1232,black,no,practice,Mozilla,Netscape,5.0 (Windows),legacy,legacy,legacy,0,uniform,1,1,left,8,8,8,8,0,0,0,8,8,0,0,0,8,8,8,0,0,8,8,0,30-08-21,30-08-21,09:16:56,Thu Sep 30 2021 09:16:56 GMT+0200 (Θερινή ώρα Κεντρικής Ευρώπης),The main experiment item,yes,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files,0,0,0,no,mono,no,18,no,white,no,no,768,99,3.6.1,legacy,legacy,4 1 5,osweb,1.4.0,1,0,n,37,,0,left,,,h,right,,left,1507,,,44327,18899,,1507,2,legacy,824,1536,24,864,24,-7,-7,1536,1632986216764,3,1024,2,48000,-16,experiment,1,odd,Win32,2,117454,,,114195,47,115227,107802,46,44411,,119472,116241,120985,47,119472,Sternberg_updated,8,11092,9,yes,1024
90,90,1244,1244,black,no,practice,Mozilla,Netscape,5.0 (Windows),legacy,legacy,legacy,0,uniform,1,1,right,9,9,9,9,0,0,0,9,9,0,0,0,9,9,9,0,0,9,9,0,30-08-21,30-08-21,09:16:56,Thu Sep 30 2021 09:16:56 GMT+0200 (Θερινή ώρα Κεντρικής Ευρώπης),The main experiment item,yes,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files,0,0,0,no,mono,no,18,no,white,no,no,768,99,3.6.1,legacy,legacy,4 3 1 7 9 8,osweb,1.4.0,1,1,y,37,,0,right,,,h,right,,right,1343,,,44327,18899,,1343,2,legacy,824,1536,24,864,24,-7,-7,1536,1632986216764,6,1024,2,48000,-16,experiment,1,odd,Win32,4,124248,,,120989,47,122019,107802,46,44411,,126267,123035,127612,47,126267,Sternberg_updated,9,12435,10,yes,1024
