,acc,accuracy,average_response_time,avg_rt,background,bidi,block,browser_codename,browser_name,browser_version,canvas_backend,clock_backend,color_backend,compensation,coordinates,correct,correct_keyboard_response,correct_response,count_ISI,count_break1,count_break_2,count_correct_feedback,count_credits,count_experiment,count_experimentLoop,count_fixation,count_incorrect_feedback,count_instructions1a,count_instructions1b,count_instructions2,count_keyboard_response,count_memory_set,count_new_logger,count_osweb,count_practiceLoop,count_practiceSequence,count_probe,count_thankYou,date_startdate,date_startdateUTC,date_starttime,datetime,description,disable_garbage_collection,experiment_debug,experiment_parameters,experiment_path,experiment_pilot,experiment_taskname,experiment_taskversion,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,jatosStudyResultId,jatosVersion,keyboard_backend,mouse_backend,numberSet,opensesame_codename,opensesame_version,penwidth,posInSet,present,queryParams_batchId,queryParams_generalMultiple,repeat_cycle,response,response_break1,response_break_2,response_instructions1a,response_instructions1b,response_instructions2,response_keyboard_response,response_time,response_time_break1,response_time_break_2,response_time_instructions1a,response_time_instructions1b,response_time_instructions2,response_time_keyboard_response,round_decimals,sampler_backend,screen_availableHeight,screen_availableWidth,screen_colorDepth,screen_height,screen_pixelDepth,screen_screenX,screen_screenY,screen_width,sessionid,setSize,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,subject_nr,subject_parity,system_os,target,time_ISI,time_break1,time_break_2,time_correct_feedback,time_experimentLoop,time_fixation,time_incorrect_feedback,time_instructions1a,time_instructions1b,time_instructions2,time_keyboard_response,time_memory_set,time_new_logger,time_practiceLoop,time_probe,title,total_correct,total_response_time,total_responses,uniform_coordinates,width,participant_id
0,100,100,547,547,black,no,practice,Mozilla,Netscape,"5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1.2 Safari/605.1.15",legacy,legacy,legacy,0,uniform,1,1,right,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29-08-21,29-08-21,11:45:48,Wed Sep 29 2021 11:45:48 GMT+0200 (CEST),The main experiment item,yes,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files,0,0,0,no,mono,no,18,no,white,no,no,768,40,3.6.1,legacy,legacy,1 5 2 9,osweb,1.4.0,1,2,y,36,,0,right,,,right,right,,right,547,,,19662,15469,,547,2,legacy,878,1440,24,900,24,0,0,1440,1632908712246,4,1024,2,48000,-16,experiment,0,even,MacIntel,5,37517,,,,77,35297,,76,19769,,39537,36303,40100,77,39536,Sternberg_updated,1,547,1,yes,1024,1
1,50,50,400,400,black,no,practice,Mozilla,Netscape,"5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1.2 Safari/605.1.15",legacy,legacy,legacy,0,uniform,0,0,right,1,1,1,1,0,0,0,1,1,0,0,0,1,1,1,0,0,1,1,0,29-08-21,29-08-21,11:45:48,Wed Sep 29 2021 11:45:48 GMT+0200 (CEST),The main experiment item,yes,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files,0,0,0,no,mono,no,18,no,white,no,no,768,40,3.6.1,legacy,legacy,4 8,osweb,1.4.0,1,1,y,36,,0,left,,,right,right,,left,253,,,19662,15469,,253,2,legacy,878,1440,24,900,24,0,0,1440,1632908712246,2,1024,2,48000,-16,experiment,0,even,MacIntel,4,43384,,,40109.0,77,41152,,76,19769,,45403,42170,45666,77,45403,Sternberg_updated,1,800,2,yes,1024,1
2,67,67,455,455,black,no,practice,Mozilla,Netscape,"5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1.2 Safari/605.1.15",legacy,legacy,legacy,0,uniform,1,1,left,2,2,2,2,0,0,0,2,2,0,0,0,2,2,2,0,0,2,2,0,29-08-21,29-08-21,11:45:48,Wed Sep 29 2021 11:45:48 GMT+0200 (CEST),The main experiment item,yes,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files,0,0,0,no,mono,no,18,no,white,no,no,768,40,3.6.1,legacy,legacy,3 1 9 4,osweb,1.4.0,1,0,n,36,,0,left,,,right,right,,left,566,,,19662,15469,,566,2,legacy,878,1440,24,900,24,0,0,1440,1632908712246,4,1024,2,48000,-16,experiment,0,even,MacIntel,6,48935,,,40109.0,77,46713,45670.0,76,19769,,50954,47721,51534,77,50954,Sternberg_updated,2,1366,3,yes,1024,1
3,75,75,454,454,black,no,practice,Mozilla,Netscape,"5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1.2 Safari/605.1.15",legacy,legacy,legacy,0,uniform,1,1,left,3,3,3,3,0,0,0,3,3,0,0,0,3,3,3,0,0,3,3,0,29-08-21,29-08-21,11:45:48,Wed Sep 29 2021 11:45:48 GMT+0200 (CEST),The main experiment item,yes,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files,0,0,0,no,mono,no,18,no,white,no,no,768,40,3.6.1,legacy,legacy,4 1 5,osweb,1.4.0,1,0,n,36,,0,left,,,right,right,,left,449,,,19662,15469,,449,2,legacy,878,1440,24,900,24,0,0,1440,1632908712246,3,1024,2,48000,-16,experiment,0,even,MacIntel,2,54802,,,51539.0,77,52582,45670.0,76,19769,,56821,53587,57284,77,56821,Sternberg_updated,3,1815,4,yes,1024,1
4,80,80,521,521,black,no,practice,Mozilla,Netscape,"5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1.2 Safari/605.1.15",legacy,legacy,legacy,0,uniform,1,1,right,4,4,4,4,0,0,0,4,4,0,0,0,4,4,4,0,0,4,4,0,29-08-21,29-08-21,11:45:48,Wed Sep 29 2021 11:45:48 GMT+0200 (CEST),The main experiment item,yes,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files,0,0,0,no,mono,no,18,no,white,no,no,768,40,3.6.1,legacy,legacy,4 3 1 7 9 8,osweb,1.4.0,1,1,y,36,,0,right,,,right,right,,right,789,,,19662,15469,,789,2,legacy,878,1440,24,900,24,0,0,1440,1632908712246,6,1024,2,48000,-16,experiment,0,even,MacIntel,4,60569,,,57289.0,77,58336,45670.0,76,19769,,62588,59354,63385,77,62588,Sternberg_updated,4,2604,5,yes,1024,1
5,83,83,556,556,black,no,practice,Mozilla,Netscape,"5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1.2 Safari/605.1.15",legacy,legacy,legacy,0,uniform,1,1,left,5,5,5,5,0,0,0,5,5,0,0,0,5,5,5,0,0,5,5,0,29-08-21,29-08-21,11:45:48,Wed Sep 29 2021 11:45:48 GMT+0200 (CEST),The main experiment item,yes,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files,0,0,0,no,mono,no,18,no,white,no,no,768,40,3.6.1,legacy,legacy,9 6 7 4 5,osweb,1.4.0,1,0,n,36,,0,left,,,right,right,,left,734,,,19662,15469,,734,2,legacy,878,1440,24,900,24,0,0,1440,1632908712246,5,1024,2,48000,-16,experiment,0,even,MacIntel,3,66651,,,63391.0,77,64432,45670.0,76,19769,,68670,65438,69419,77,68670,Sternberg_updated,5,3338,6,yes,1024,1
6,86,86,527,527,black,no,practice,Mozilla,Netscape,"5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1.2 Safari/605.1.15",legacy,legacy,legacy,0,uniform,1,1,right,6,6,6,6,0,0,0,6,6,0,0,0,6,6,6,0,0,6,6,0,29-08-21,29-08-21,11:45:48,Wed Sep 29 2021 11:45:48 GMT+0200 (CEST),The main experiment item,yes,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files,0,0,0,no,mono,no,18,no,white,no,no,768,40,3.6.1,legacy,legacy,6,osweb,1.4.0,1,1,y,36,,0,right,,,right,right,,right,350,,,19662,15469,,350,2,legacy,878,1440,24,900,24,0,0,1440,1632908712246,1,1024,2,48000,-16,experiment,0,even,MacIntel,6,72686,,,69423.0,77,70466,45670.0,76,19769,,74706,71471,75069,77,74706,Sternberg_updated,6,3688,7,yes,1024,1
7,88,88,563,563,black,no,practice,Mozilla,Netscape,"5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1.2 Safari/605.1.15",legacy,legacy,legacy,0,uniform,1,1,right,7,7,7,7,0,0,0,7,7,0,0,0,7,7,7,0,0,7,7,0,29-08-21,29-08-21,11:45:48,Wed Sep 29 2021 11:45:48 GMT+0200 (CEST),The main experiment item,yes,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files,0,0,0,no,mono,no,18,no,white,no,no,768,40,3.6.1,legacy,legacy,1 7 9 8 5,osweb,1.4.0,1,4,y,36,,0,right,,,right,right,,right,819,,,19662,15469,,819,2,legacy,878,1440,24,900,24,0,0,1440,1632908712246,5,1024,2,48000,-16,experiment,0,even,MacIntel,8,78337,,,75073.0,77,76112,45670.0,76,19769,,80356,77122,81186,77,80356,Sternberg_updated,7,4507,8,yes,1024,1
8,89,89,552,552,black,no,practice,Mozilla,Netscape,"5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1.2 Safari/605.1.15",legacy,legacy,legacy,0,uniform,1,1,right,8,8,8,8,0,0,0,8,8,0,0,0,8,8,8,0,0,8,8,0,29-08-21,29-08-21,11:45:48,Wed Sep 29 2021 11:45:48 GMT+0200 (CEST),The main experiment item,yes,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files,0,0,0,no,mono,no,18,no,white,no,no,768,40,3.6.1,legacy,legacy,2 9 4,osweb,1.4.0,1,3,y,36,,0,right,,,right,right,,right,461,,,19662,15469,,461,2,legacy,878,1440,24,900,24,0,0,1440,1632908712246,3,1024,2,48000,-16,experiment,0,even,MacIntel,4,84454,,,81190.0,77,82233,45670.0,76,19769,,86473,83239,86936,77,86473,Sternberg_updated,8,4968,9,yes,1024,1
9,90,90,527,527,black,no,practice,Mozilla,Netscape,"5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1.2 Safari/605.1.15",legacy,legacy,legacy,0,uniform,1,1,left,9,9,9,9,0,0,0,9,9,0,0,0,9,9,9,0,0,9,9,0,29-08-21,29-08-21,11:45:48,Wed Sep 29 2021 11:45:48 GMT+0200 (CEST),The main experiment item,yes,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files,0,0,0,no,mono,no,18,no,white,no,no,768,40,3.6.1,legacy,legacy,5,osweb,1.4.0,1,0,n,36,,0,left,,,right,right,,left,304,,,19662,15469,,304,2,legacy,878,1440,24,900,24,0,0,1440,1632908712246,1,1024,2,48000,-16,experiment,0,even,MacIntel,3,90204,,,86940.0,77,87983,45670.0,76,19769,,92223,88990,92537,77,92223,Sternberg_updated,9,5272,10,yes,1024,1
