setSize,present,id,rt
1,n,1,407.0
1,n,2,848.5
1,n,3,549.3333333333334
1,n,4,982.3333333333334
1,n,6,568.0
1,n,7,618.0
1,n,8,501.6666666666667
1,n,9,889.0
1,n,10,772.3333333333334
1,n,11,698.3333333333334
1,n,12,671.0508474576271
1,n,13,518.6666666666666
1,n,14,789.6666666666666
1,n,15,572.0
1,n,16,732.3333333333334
1,n,17,648.3333333333334
1,n,18,621.0
1,n,19,738.3333333333334
1,n,20,726.6666666666666
1,n,21,443.3333333333333
1,n,22,713.6666666666666
1,n,23,760.6666666666666
1,y,1,385.3333333333333
1,y,2,837.3333333333334
1,y,3,416.0
1,y,4,762.0
1,y,6,627.6666666666666
1,y,7,844.0
1,y,8,411.0
1,y,9,791.3333333333334
1,y,10,458.0
1,y,11,619.0
1,y,12,645.0677966101695
1,y,13,535.3333333333334
1,y,14,670.0
1,y,15,381.3333333333333
1,y,16,1082.5
1,y,17,516.3333333333334
1,y,18,604.3333333333334
1,y,19,1020.0
1,y,20,897.6666666666666
1,y,21,443.3333333333333
1,y,22,766.0
1,y,23,812.0
2,n,1,473.0
2,n,2,872.2
2,n,3,691.1666666666666
2,n,4,653.1666666666666
2,n,6,608.0
2,n,7,751.5
2,n,8,532.8333333333334
2,n,9,709.6666666666666
2,n,10,593.0
2,n,11,861.3333333333334
2,n,12,715.0819672131148
2,n,13,566.4
2,n,14,896.2
2,n,15,468.8333333333333
2,n,16,882.6
2,n,17,593.5
2,n,18,755.0
2,n,19,1163.8333333333333
2,n,20,967.3333333333334
2,n,21,491.5
2,n,22,741.5
2,n,23,803.6666666666666
2,y,1,458.5
2,y,2,757.3333333333334
2,y,3,576.3333333333334
2,y,4,819.6
2,y,6,520.6
2,y,7,655.0
2,y,8,518.8333333333334
2,y,9,762.5
2,y,10,541.3333333333334
2,y,11,636.2
2,y,12,688.0
2,y,13,710.3333333333334
2,y,14,887.1666666666666
2,y,15,411.6
2,y,16,1111.4
2,y,17,662.4
2,y,18,569.8333333333334
2,y,19,891.3333333333334
2,y,20,822.0
2,y,21,470.5
2,y,22,852.8
2,y,23,897.2
3,n,1,556.3333333333334
3,n,2,948.7777777777778
3,n,3,617.375
3,n,4,774.2222222222222
3,n,6,650.3333333333334
3,n,7,692.3333333333334
3,n,8,525.1111111111111
3,n,9,744.3333333333334
3,n,10,711.1111111111111
3,n,11,733.8888888888889
3,n,12,747.25
3,n,13,640.1111111111111
3,n,14,902.75
3,n,15,518.75
3,n,16,945.5714285714286
3,n,17,722.6666666666666
3,n,18,807.1111111111111
3,n,19,1067.6666666666667
3,n,20,875.875
3,n,21,545.4444444444445
3,n,22,793.5714285714286
3,n,23,992.25
3,y,1,473.375
3,y,2,742.0
3,y,3,600.875
3,y,4,1148.7777777777778
3,y,6,561.4444444444445
3,y,7,667.375
3,y,8,562.5
3,y,9,618.4444444444445
3,y,10,534.5555555555555
3,y,11,724.5
