setSize,present,id,rt
1,n,1,407.0
1,n,2,848.5
1,n,3,549.3333333333334
1,n,4,982.3333333333334
1,n,5,568.0
1,n,6,618.0
1,n,7,501.6666666666667
1,n,8,889.0
1,n,9,772.3333333333334
1,n,10,698.3333333333334
1,n,11,518.6666666666666
1,n,12,789.6666666666666
1,n,13,572.0
1,n,14,732.3333333333334
1,n,15,648.3333333333334
1,n,16,621.0
1,n,17,738.3333333333334
1,n,18,726.6666666666666
1,n,19,443.3333333333333
1,n,20,713.6666666666666
1,n,21,760.6666666666666
1,y,1,385.3333333333333
1,y,2,837.3333333333334
1,y,3,416.0
1,y,4,762.0
1,y,5,627.6666666666666
1,y,6,844.0
1,y,7,411.0
1,y,8,791.3333333333334
1,y,9,458.0
1,y,10,619.0
1,y,11,535.3333333333334
1,y,12,670.0
1,y,13,381.3333333333333
1,y,14,1082.5
1,y,15,516.3333333333334
1,y,16,604.3333333333334
1,y,17,1020.0
1,y,18,897.6666666666666
1,y,19,443.3333333333333
1,y,20,766.0
1,y,21,812.0
2,n,1,473.0
2,n,2,872.2
2,n,3,691.1666666666666
2,n,4,653.1666666666666
2,n,5,608.0
2,n,6,751.5
2,n,7,532.8333333333334
2,n,8,709.6666666666666
2,n,9,593.0
2,n,10,861.3333333333334
2,n,11,566.4
2,n,12,896.2
2,n,13,468.8333333333333
2,n,14,882.6
2,n,15,593.5
2,n,16,755.0
2,n,17,1163.8333333333333
2,n,18,967.3333333333334
2,n,19,491.5
2,n,20,741.5
2,n,21,803.6666666666666
2,y,1,458.5
2,y,2,757.3333333333334
2,y,3,576.3333333333334
2,y,4,819.6
2,y,5,520.6
2,y,6,655.0
2,y,7,518.8333333333334
2,y,8,762.5
2,y,9,541.3333333333334
2,y,10,636.2
2,y,11,710.3333333333334
2,y,12,887.1666666666666
2,y,13,411.6
2,y,14,1111.4
2,y,15,662.4
2,y,16,569.8333333333334
2,y,17,891.3333333333334
2,y,18,822.0
2,y,19,470.5
2,y,20,852.8
2,y,21,897.2
3,n,1,556.3333333333334
3,n,2,948.7777777777778
3,n,3,617.375
3,n,4,774.2222222222222
3,n,5,650.3333333333334
3,n,6,692.3333333333334
3,n,7,525.1111111111111
3,n,8,744.3333333333334
3,n,9,711.1111111111111
3,n,10,733.8888888888889
3,n,11,640.1111111111111
3,n,12,902.75
3,n,13,518.75
3,n,14,945.5714285714286
3,n,15,722.6666666666666
3,n,16,807.1111111111111
3,n,17,1067.6666666666667
3,n,18,875.875
3,n,19,545.4444444444445
3,n,20,793.5714285714286
3,n,21,992.25
3,y,1,473.375
3,y,2,742.0
3,y,3,600.875
3,y,4,1148.7777777777778
3,y,5,561.4444444444445
3,y,6,667.375
3,y,7,562.5
3,y,8,618.4444444444445
3,y,9,534.5555555555555
3,y,10,724.5
3,y,11,618.1111111111111
3,y,12,818.0
3,y,13,448.44444444444446
3,y,14,1048.4444444444443
