acc,accuracy,average_response_time,avg_rt,background,bidi,block,browser_codename,browser_name,browser_version,canvas_backend,clock_backend,color_backend,compensation,coordinates,correct,correct_keyboard_response,correct_response,count_ISI,count_break1,count_break_2,count_correct_feedback,count_credits,count_experiment,count_experimentLoop,count_fixation,count_incorrect_feedback,count_instructions1a,count_instructions1b,count_instructions2,count_keyboard_response,count_memory_set,count_new_logger,count_osweb,count_practiceLoop,count_practiceSequence,count_probe,count_thankYou,date_startdate,date_startdateUTC,date_starttime,datetime,description,disable_garbage_collection,experiment_debug,experiment_parameters,experiment_path,experiment_pilot,experiment_taskname,experiment_taskversion,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,jatosStudyResultId,jatosVersion,keyboard_backend,mouse_backend,numberSet,opensesame_codename,opensesame_version,penwidth,posInSet,present,queryParams_batchId,queryParams_generalMultiple,repeat_cycle,response,response_break1,response_break_2,response_instructions1a,response_instructions1b,response_instructions2,response_keyboard_response,response_time,response_time_break1,response_time_break_2,response_time_instructions1a,response_time_instructions1b,response_time_instructions2,response_time_keyboard_response,round_decimals,sampler_backend,screen_availableHeight,screen_availableWidth,screen_colorDepth,screen_height,screen_pixelDepth,screen_screenX,screen_screenY,screen_width,sessionid,setSize,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,subject_nr,subject_parity,system_os,target,time_ISI,time_break1,time_break_2,time_correct_feedback,time_experimentLoop,time_fixation,time_incorrect_feedback,time_instructions1a,time_instructions1b,time_instructions2,time_keyboard_response,time_memory_set,time_new_logger,time_practiceLoop,time_probe,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
100,100,861,861,black,no,practice,Mozilla,Netscape,5.0 (Macintosh),legacy,legacy,legacy,0,uniform,1,1,right,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30-08-21,30-08-21,09:17:22,Thu Sep 30 2021 09:17:22 GMT+0200 (Central European Summer Time),The main experiment item,yes,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files,0,0,0,no,mono,no,18,no,white,no,no,768,106,3.6.1,legacy,legacy,1 7 9 8 5,osweb,1.4.0,1,4,y,37,,0,right,,,space,right,,right,861,,,11595,15051,,861,2,legacy,875,1440,24,900,24,0,32,1440,1632986335674,5,1024,2,48000,-16,experiment,0,even,MacIntel,8,28950,,,,38,26736,,38,11650,,30960,27748,31834,38,30959,Sternberg_updated,1,861,1,yes,1024
100,100,1093,1093,black,no,practice,Mozilla,Netscape,5.0 (Macintosh),legacy,legacy,legacy,0,uniform,1,1,left,1,1,1,1,0,0,0,1,1,0,0,0,1,1,1,0,0,1,1,0,30-08-21,30-08-21,09:17:22,Thu Sep 30 2021 09:17:22 GMT+0200 (Central European Summer Time),The main experiment item,yes,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files,0,0,0,no,mono,no,18,no,white,no,no,768,106,3.6.1,legacy,legacy,5,osweb,1.4.0,1,0,n,37,,0,left,,,space,right,,left,1325,,,11595,15051,,1325,2,legacy,875,1440,24,900,24,0,32,1440,1632986335674,1,1024,2,48000,-16,experiment,0,even,MacIntel,3,35079,,,31838,38,32868,,38,11650,,37089,33875,38414,38,37089,Sternberg_updated,2,2186,2,yes,1024
100,100,1103,1103,black,no,practice,Mozilla,Netscape,5.0 (Macintosh),legacy,legacy,legacy,0,uniform,1,1,left,2,2,2,2,0,0,0,2,2,0,0,0,2,2,2,0,0,2,2,0,30-08-21,30-08-21,09:17:22,Thu Sep 30 2021 09:17:22 GMT+0200 (Central European Summer Time),The main experiment item,yes,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files,0,0,0,no,mono,no,18,no,white,no,no,768,106,3.6.1,legacy,legacy,4 1 5,osweb,1.4.0,1,0,n,37,,0,left,,,space,right,,left,1123,,,11595,15051,,1123,2,legacy,875,1440,24,900,24,0,32,1440,1632986335674,3,1024,2,48000,-16,experiment,0,even,MacIntel,2,41644,,,38416,38,39431,,38,11650,,43661,40434,44786,38,43660,Sternberg_updated,3,3309,3,yes,1024
75,75,1011,1011,black,no,practice,Mozilla,Netscape,5.0 (Macintosh),legacy,legacy,legacy,0,uniform,0,0,left,3,3,3,3,0,0,0,3,3,0,0,0,3,3,3,0,0,3,3,0,30-08-21,30-08-21,09:17:22,Thu Sep 30 2021 09:17:22 GMT+0200 (Central European Summer Time),The main experiment item,yes,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files,0,0,0,no,mono,no,18,no,white,no,no,768,106,3.6.1,legacy,legacy,5 7 8 4 1 2,osweb,1.4.0,1,0,n,37,,0,right,,,space,right,,right,736,,,11595,15051,,736,2,legacy,875,1440,24,900,24,0,32,1440,1632986335674,6,1024,2,48000,-16,experiment,0,even,MacIntel,6,48027,,,44787,38,45803,,38,11650,,50036,46817,50777,38,50036,Sternberg_updated,3,4045,4,yes,1024
80,80,1011,1011,black,no,practice,Mozilla,Netscape,5.0 (Macintosh),legacy,legacy,legacy,0,uniform,1,1,right,4,4,4,4,0,0,0,4,4,0,0,0,4,4,4,0,0,4,4,0,30-08-21,30-08-21,09:17:22,Thu Sep 30 2021 09:17:22 GMT+0200 (Central European Summer Time),The main experiment item,yes,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files,0,0,0,no,mono,no,18,no,white,no,no,768,106,3.6.1,legacy,legacy,1 5 2 9,osweb,1.4.0,1,2,y,37,,0,right,,,space,right,,right,1011,,,11595,15051,,1011,2,legacy,875,1440,24,900,24,0,32,1440,1632986335674,4,1024,2,48000,-16,experiment,0,even,MacIntel,5,54007,,,44787,38,51794,50778,38,11650,,56017,52805,57037,38,56017,Sternberg_updated,4,5056,5,yes,1024
83,83,1021,1021,black,no,practice,Mozilla,Netscape,5.0 (Macintosh),legacy,legacy,legacy,0,uniform,1,1,right,5,5,5,5,0,0,0,5,5,0,0,0,5,5,5,0,0,5,5,0,30-08-21,30-08-21,09:17:22,Thu Sep 30 2021 09:17:22 GMT+0200 (Central European Summer Time),The main experiment item,yes,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files,0,0,0,no,mono,no,18,no,white,no,no,768,106,3.6.1,legacy,legacy,4 8,osweb,1.4.0,1,1,y,37,,0,right,,,space,right,,right,1071,,,11595,15051,,1071,2,legacy,875,1440,24,900,24,0,32,1440,1632986335674,2,1024,2,48000,-16,experiment,0,even,MacIntel,4,60262,,,57038,38,58057,50778,38,11650,,62277,59059,63363,38,62277,Sternberg_updated,5,6127,6,yes,1024
86,86,1024,1024,black,no,practice,Mozilla,Netscape,5.0 (Macintosh),legacy,legacy,legacy,0,uniform,1,1,left,6,6,6,6,0,0,0,6,6,0,0,0,6,6,6,0,0,6,6,0,30-08-21,30-08-21,09:17:22,Thu Sep 30 2021 09:17:22 GMT+0200 (Central European Summer Time),The main experiment item,yes,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files,0,0,0,no,mono,no,18,no,white,no,no,768,106,3.6.1,legacy,legacy,9 6 7 4 5,osweb,1.4.0,1,0,n,37,,0,left,,,space,right,,left,1039,,,11595,15051,,1039,2,legacy,875,1440,24,900,24,0,32,1440,1632986335674,5,1024,2,48000,-16,experiment,0,even,MacIntel,3,66617,,,63364,38,64385,50778,38,11650,,68628,65401,69678,38,68628,Sternberg_updated,6,7166,7,yes,1024
88,88,1009,1009,black,no,practice,Mozilla,Netscape,5.0 (Macintosh),legacy,legacy,legacy,0,uniform,1,1,right,7,7,7,7,0,0,0,7,7,0,0,0,7,7,7,0,0,7,7,0,30-08-21,30-08-21,09:17:22,Thu Sep 30 2021 09:17:22 GMT+0200 (Central European Summer Time),The main experiment item,yes,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files,0,0,0,no,mono,no,18,no,white,no,no,768,106,3.6.1,legacy,legacy,2 9 4,osweb,1.4.0,1,3,y,37,,0,right,,,space,right,,right,907,,,11595,15051,,907,2,legacy,875,1440,24,900,24,0,32,1440,1632986335674,3,1024,2,48000,-16,experiment,0,even,MacIntel,4,72918,,,69679,38,70696,50778,38,11650,,74926,71710,75847,38,74926,Sternberg_updated,7,8073,8,yes,1024
89,89,988,988,black,no,practice,Mozilla,Netscape,5.0 (Macintosh),legacy,legacy,legacy,0,uniform,1,1,right,8,8,8,8,0,0,0,8,8,0,0,0,8,8,8,0,0,8,8,0,30-08-21,30-08-21,09:17:22,Thu Sep 30 2021 09:17:22 GMT+0200 (Central European Summer Time),The main experiment item,yes,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files,0,0,0,no,mono,no,18,no,white,no,no,768,106,3.6.1,legacy,legacy,6,osweb,1.4.0,1,1,y,37,,0,right,,,space,right,,right,823,,,11595,15051,,823,2,legacy,875,1440,24,900,24,0,32,1440,1632986335674,1,1024,2,48000,-16,experiment,0,even,MacIntel,6,79072,,,75849,38,76862,50778,38,11650,,81089,77865,81913,38,81089,Sternberg_updated,8,8896,9,yes,1024
90,90,983,983,black,no,practice,Mozilla,Netscape,5.0 (Macintosh),legacy,legacy,legacy,0,uniform,1,1,left,9,9,9,9,0,0,0,9,9,0,0,0,9,9,9,0,0,9,9,0,30-08-21,30-08-21,09:17:22,Thu Sep 30 2021 09:17:22 GMT+0200 (Central European Summer Time),The main experiment item,yes,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files,0,0,0,no,mono,no,18,no,white,no,no,768,106,3.6.1,legacy,legacy,3 1 9 4,osweb,1.4.0,1,0,n,37,,0,left,,,space,right,,left,934,,,11595,15051,,934,2,legacy,875,1440,24,900,24,0,32,1440,1632986335674,4,1024,2,48000,-16,experiment,0,even,MacIntel,6,85144,,,81914,38,82934,50778,38,11650,,87147,83935,88085,38,87147,Sternberg_updated,9,9830,10,yes,1024
