acc,accuracy,average_response_time,avg_rt,background,bidi,block,browser_codename,browser_name,browser_version,canvas_backend,clock_backend,color_backend,compensation,coordinates,correct,correct_keyboard_response,correct_response,count_ISI,count_break1,count_break_2,count_correct_feedback,count_credits,count_experiment,count_experimentLoop,count_fixation,count_incorrect_feedback,count_instructions1a,count_instructions1b,count_instructions2,count_keyboard_response,count_memory_set,count_new_logger,count_osweb,count_practiceLoop,count_practiceSequence,count_probe,count_thankYou,date_startdate,date_startdateUTC,date_starttime,datetime,description,disable_garbage_collection,experiment_debug,experiment_parameters,experiment_path,experiment_pilot,experiment_taskname,experiment_taskversion,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,jatosStudyResultId,jatosVersion,keyboard_backend,mouse_backend,numberSet,opensesame_codename,opensesame_version,penwidth,posInSet,present,queryParams_batchId,queryParams_generalMultiple,repeat_cycle,response,response_break1,response_break_2,response_instructions1a,response_instructions1b,response_instructions2,response_keyboard_response,response_time,response_time_break1,response_time_break_2,response_time_instructions1a,response_time_instructions1b,response_time_instructions2,response_time_keyboard_response,round_decimals,sampler_backend,screen_availableHeight,screen_availableWidth,screen_colorDepth,screen_height,screen_pixelDepth,screen_screenX,screen_screenY,screen_width,sessionid,setSize,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,subject_nr,subject_parity,system_os,target,time_ISI,time_break1,time_break_2,time_correct_feedback,time_experimentLoop,time_fixation,time_incorrect_feedback,time_instructions1a,time_instructions1b,time_instructions2,time_keyboard_response,time_memory_set,time_new_logger,time_practiceLoop,time_probe,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
0,0,2001,2001,black,no,practice,Mozilla,Netscape,"5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.71 Safari/537.36",legacy,legacy,legacy,0,uniform,0,0,left,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,04-09-21,04-09-21,10:17:00,Mon Oct 04 2021 10:17:00 GMT+0200 (Centraleuropæisk sommertid),The main experiment item,yes,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files,0,0,0,no,mono,no,18,no,white,no,no,768,130,3.6.1,legacy,legacy,3 1 9 4,osweb,1.4.0,1,0,n,36,,0,None,,,space,right,,None,2001,,,20020,19366,,2001,2,legacy,721,1280,24,800,24,0,23,1280,1633335448645,4,1024,2,48000,-16,experiment,0,even,MacIntel,6,41715,,,,55,39493,,55,20086,,43717,40500,45718,55,43716,Sternberg_updated,0,2001,1,yes,1024
50,50,1472,1472,black,no,practice,Mozilla,Netscape,"5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.71 Safari/537.36",legacy,legacy,legacy,0,uniform,1,1,left,1,1,1,1,0,0,0,1,1,0,0,0,1,1,1,0,0,1,1,0,04-09-21,04-09-21,10:17:00,Mon Oct 04 2021 10:17:00 GMT+0200 (Centraleuropæisk sommertid),The main experiment item,yes,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files,0,0,0,no,mono,no,18,no,white,no,no,768,130,3.6.1,legacy,legacy,4 1 5,osweb,1.4.0,1,0,n,36,,0,left,,,space,right,,left,942,,,20020,19366,,942,2,legacy,721,1280,24,800,24,0,23,1280,1633335448645,3,1024,2,48000,-16,experiment,0,even,MacIntel,2,48985,,,,55,46755,45721,55,20086,,50986,47768,51936,55,50986,Sternberg_updated,1,2943,2,yes,1024
67,67,1350,1350,black,no,practice,Mozilla,Netscape,"5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.71 Safari/537.36",legacy,legacy,legacy,0,uniform,1,1,left,2,2,2,2,0,0,0,2,2,0,0,0,2,2,2,0,0,2,2,0,04-09-21,04-09-21,10:17:00,Mon Oct 04 2021 10:17:00 GMT+0200 (Centraleuropæisk sommertid),The main experiment item,yes,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files,0,0,0,no,mono,no,18,no,white,no,no,768,130,3.6.1,legacy,legacy,5,osweb,1.4.0,1,0,n,36,,0,left,,,space,right,,left,1108,,,20020,19366,,1108,2,legacy,721,1280,24,800,24,0,23,1280,1633335448645,1,1024,2,48000,-16,experiment,0,even,MacIntel,3,55200,,,51937,55,52966,45721,55,20086,,57217,53982,58334,55,57217,Sternberg_updated,2,4051,3,yes,1024
75,75,1159,1159,black,no,practice,Mozilla,Netscape,"5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.71 Safari/537.36",legacy,legacy,legacy,0,uniform,1,1,left,3,3,3,3,0,0,0,3,3,0,0,0,3,3,3,0,0,3,3,0,04-09-21,04-09-21,10:17:00,Mon Oct 04 2021 10:17:00 GMT+0200 (Centraleuropæisk sommertid),The main experiment item,yes,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files,0,0,0,no,mono,no,18,no,white,no,no,768,130,3.6.1,legacy,legacy,2 1,osweb,1.4.0,1,0,n,36,,0,left,,,space,right,,left,583,,,20020,19366,,583,2,legacy,721,1280,24,800,24,0,23,1280,1633335448645,2,1024,2,48000,-16,experiment,0,even,MacIntel,5,61602,,,58335,55,59380,45721,55,20086,,63604,60385,64196,55,63603,Sternberg_updated,3,4634,4,yes,1024
80,80,1050,1050,black,no,practice,Mozilla,Netscape,"5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.71 Safari/537.36",legacy,legacy,legacy,0,uniform,1,1,right,4,4,4,4,0,0,0,4,4,0,0,0,4,4,4,0,0,4,4,0,04-09-21,04-09-21,10:17:00,Mon Oct 04 2021 10:17:00 GMT+0200 (Centraleuropæisk sommertid),The main experiment item,yes,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files,0,0,0,no,mono,no,18,no,white,no,no,768,130,3.6.1,legacy,legacy,6,osweb,1.4.0,1,1,y,36,,0,right,,,space,right,,right,617,,,20020,19366,,617,2,legacy,721,1280,24,800,24,0,23,1280,1633335448645,1,1024,2,48000,-16,experiment,0,even,MacIntel,6,67465,,,64197,55,65230,45721,55,20086,,69466,66248,70099,55,69466,Sternberg_updated,4,5251,5,yes,1024
83,83,1067,1067,black,no,practice,Mozilla,Netscape,"5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.71 Safari/537.36",legacy,legacy,legacy,0,uniform,1,1,right,5,5,5,5,0,0,0,5,5,0,0,0,5,5,5,0,0,5,5,0,04-09-21,04-09-21,10:17:00,Mon Oct 04 2021 10:17:00 GMT+0200 (Centraleuropæisk sommertid),The main experiment item,yes,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files,0,0,0,no,mono,no,18,no,white,no,no,768,130,3.6.1,legacy,legacy,4 3 1 7 9 8,osweb,1.4.0,1,1,y,36,,0,right,,,space,right,,right,1150,,,20020,19366,,1150,2,legacy,721,1280,24,800,24,0,23,1280,1633335448645,6,1024,2,48000,-16,experiment,0,even,MacIntel,4,73351,,,70100,55,71133,45721,55,20086,,75359,72134,76510,55,75359,Sternberg_updated,5,6401,6,yes,1024
71,71,1004,1004,black,no,practice,Mozilla,Netscape,"5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.71 Safari/537.36",legacy,legacy,legacy,0,uniform,0,0,right,6,6,6,6,0,0,0,6,6,0,0,0,6,6,6,0,0,6,6,0,04-09-21,04-09-21,10:17:00,Mon Oct 04 2021 10:17:00 GMT+0200 (Centraleuropæisk sommertid),The main experiment item,yes,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files,0,0,0,no,mono,no,18,no,white,no,no,768,130,3.6.1,legacy,legacy,4 8,osweb,1.4.0,1,1,y,36,,0,left,,,space,right,,left,625,,,20020,19366,,625,2,legacy,721,1280,24,800,24,0,23,1280,1633335448645,2,1024,2,48000,-16,experiment,0,even,MacIntel,4,79777,,,76511,55,77550,45721,55,20086,,81779,78560,82411,55,81779,Sternberg_updated,5,7026,7,yes,1024
75,75,972,972,black,no,practice,Mozilla,Netscape,"5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.71 Safari/537.36",legacy,legacy,legacy,0,uniform,1,1,right,7,7,7,7,0,0,0,7,7,0,0,0,7,7,7,0,0,7,7,0,04-09-21,04-09-21,10:17:00,Mon Oct 04 2021 10:17:00 GMT+0200 (Centraleuropæisk sommertid),The main experiment item,yes,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files,0,0,0,no,mono,no,18,no,white,no,no,768,130,3.6.1,legacy,legacy,2 9 4,osweb,1.4.0,1,3,y,36,,0,right,,,space,right,,right,748,,,20020,19366,,748,2,legacy,721,1280,24,800,24,0,23,1280,1633335448645,3,1024,2,48000,-16,experiment,0,even,MacIntel,4,85663,,,76511,55,83446,82412,55,20086,,87680,84462,88431,55,87680,Sternberg_updated,6,7774,8,yes,1024
78,78,964,964,black,no,practice,Mozilla,Netscape,"5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.71 Safari/537.36",legacy,legacy,legacy,0,uniform,1,1,right,8,8,8,8,0,0,0,8,8,0,0,0,8,8,8,0,0,8,8,0,04-09-21,04-09-21,10:17:00,Mon Oct 04 2021 10:17:00 GMT+0200 (Centraleuropæisk sommertid),The main experiment item,yes,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files,0,0,0,no,mono,no,18,no,white,no,no,768,130,3.6.1,legacy,legacy,1 5 2 9,osweb,1.4.0,1,2,y,36,,0,right,,,space,right,,right,906,,,20020,19366,,906,2,legacy,721,1280,24,800,24,0,23,1280,1633335448645,4,1024,2,48000,-16,experiment,0,even,MacIntel,5,91683,,,88432,55,89467,82412,55,20086,,93700,90482,94617,55,93700,Sternberg_updated,7,8680,9,yes,1024
80,80,927,927,black,no,practice,Mozilla,Netscape,"5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.71 Safari/537.36",legacy,legacy,legacy,0,uniform,1,1,right,9,9,9,9,0,0,0,9,9,0,0,0,9,9,9,0,0,9,9,0,04-09-21,04-09-21,10:17:00,Mon Oct 04 2021 10:17:00 GMT+0200 (Centraleuropæisk sommertid),The main experiment item,yes,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files,0,0,0,no,mono,no,18,no,white,no,no,768,130,3.6.1,legacy,legacy,1 7 9 8 5,osweb,1.4.0,1,4,y,36,,0,right,,,space,right,,right,590,,,20020,19366,,590,2,legacy,721,1280,24,800,24,0,23,1280,1633335448645,5,1024,2,48000,-16,experiment,0,even,MacIntel,8,97883,,,94618,55,95654,82412,55,20086,,99886,96667,100485,55,99886,Sternberg_updated,8,9270,10,yes,1024
