acc,accuracy,average_response_time,avg_rt,background,bidi,block,browser_codename,browser_name,browser_version,canvas_backend,clock_backend,color_backend,compensation,coordinates,correct,correct_keyboard_response,correct_response,count_ISI,count_break1,count_break_2,count_correct_feedback,count_credits,count_experiment,count_experimentLoop,count_fixation,count_incorrect_feedback,count_instructions1a,count_instructions1b,count_instructions2,count_keyboard_response,count_memory_set,count_new_logger,count_osweb,count_practiceLoop,count_practiceSequence,count_probe,count_thankYou,date_startdate,date_startdateUTC,date_starttime,datetime,description,disable_garbage_collection,experiment_debug,experiment_parameters,experiment_path,experiment_pilot,experiment_taskname,experiment_taskversion,font_bold,font_family,font_italic,font_size,font_underline,foreground,form_clicks,fullscreen,height,jatosStudyResultId,jatosVersion,keyboard_backend,mouse_backend,numberSet,opensesame_codename,opensesame_version,penwidth,posInSet,present,queryParams_batchId,queryParams_generalMultiple,repeat_cycle,response,response_break1,response_break_2,response_instructions1a,response_instructions1b,response_instructions2,response_keyboard_response,response_time,response_time_break1,response_time_break_2,response_time_instructions1a,response_time_instructions1b,response_time_instructions2,response_time_keyboard_response,round_decimals,sampler_backend,screen_availableHeight,screen_availableWidth,screen_colorDepth,screen_height,screen_pixelDepth,screen_screenX,screen_screenY,screen_width,sessionid,setSize,sound_buf_size,sound_channels,sound_freq,sound_sample_size,start,subject_nr,subject_parity,system_os,target,time_ISI,time_break1,time_break_2,time_correct_feedback,time_experimentLoop,time_fixation,time_incorrect_feedback,time_instructions1a,time_instructions1b,time_instructions2,time_keyboard_response,time_memory_set,time_new_logger,time_practiceLoop,time_probe,title,total_correct,total_response_time,total_responses,uniform_coordinates,width
100,100,697,697,black,no,practice,Mozilla,Netscape,"5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.61 Safari/537.36",legacy,legacy,legacy,0,uniform,1,1,left,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29-08-21,29-08-21,11:45:42,Wed Sep 29 2021 11:45:42 GMT+0200 (Central European Summer Time),The main experiment item,yes,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files,0,0,0,no,mono,no,18,no,white,no,no,768,47,3.6.1,legacy,legacy,5,osweb,1.4.0,1,0,n,36,,0,left,,,right,right,,left,697,,,42840,26321,,697,2,legacy,1050,1920,24,1080,24,0,0,1920,1632908744564,1,1024,2,48000,-16,experiment,1,odd,Win32,3,71455,,,,39,69226,,38,42881,,73471,70240,74170,39,73470,Sternberg_updated,1,697,1,yes,1024
100,100,916,916,black,no,practice,Mozilla,Netscape,"5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.61 Safari/537.36",legacy,legacy,legacy,0,uniform,1,1,left,1,1,1,1,0,0,0,1,1,0,0,0,1,1,1,0,0,1,1,0,29-08-21,29-08-21,11:45:42,Wed Sep 29 2021 11:45:42 GMT+0200 (Central European Summer Time),The main experiment item,yes,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files,0,0,0,no,mono,no,18,no,white,no,no,768,47,3.6.1,legacy,legacy,5 7 8 4 1 2,osweb,1.4.0,1,0,n,36,,0,left,,,right,right,,left,1135,,,42840,26321,,1135,2,legacy,1050,1920,24,1080,24,0,0,1920,1632908744564,6,1024,2,48000,-16,experiment,1,odd,Win32,6,77434,,,74171,39,75204,,38,42881,,79449,76218,80597,39,79449,Sternberg_updated,2,1832,2,yes,1024
100,100,821,821,black,no,practice,Mozilla,Netscape,"5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.61 Safari/537.36",legacy,legacy,legacy,0,uniform,1,1,left,2,2,2,2,0,0,0,2,2,0,0,0,2,2,2,0,0,2,2,0,29-08-21,29-08-21,11:45:42,Wed Sep 29 2021 11:45:42 GMT+0200 (Central European Summer Time),The main experiment item,yes,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files,0,0,0,no,mono,no,18,no,white,no,no,768,47,3.6.1,legacy,legacy,4 1 5,osweb,1.4.0,1,0,n,36,,0,left,,,right,right,,left,631,,,42840,26321,,631,2,legacy,1050,1920,24,1080,24,0,0,1920,1632908744564,3,1024,2,48000,-16,experiment,1,odd,Win32,2,83845,,,80598,39,81623,,38,42881,,85860,82629,86492,39,85860,Sternberg_updated,3,2463,3,yes,1024
100,100,758,758,black,no,practice,Mozilla,Netscape,"5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.61 Safari/537.36",legacy,legacy,legacy,0,uniform,1,1,left,3,3,3,3,0,0,0,3,3,0,0,0,3,3,3,0,0,3,3,0,29-08-21,29-08-21,11:45:42,Wed Sep 29 2021 11:45:42 GMT+0200 (Central European Summer Time),The main experiment item,yes,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files,0,0,0,no,mono,no,18,no,white,no,no,768,47,3.6.1,legacy,legacy,3 1 9 4,osweb,1.4.0,1,0,n,36,,0,left,,,right,right,,left,567,,,42840,26321,,567,2,legacy,1050,1920,24,1080,24,0,0,1920,1632908744564,4,1024,2,48000,-16,experiment,1,odd,Win32,6,89739,,,86493,39,87518,,38,42881,,91755,88524,92337,39,91754,Sternberg_updated,4,3030,4,yes,1024
100,100,703,703,black,no,practice,Mozilla,Netscape,"5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.61 Safari/537.36",legacy,legacy,legacy,0,uniform,1,1,right,4,4,4,4,0,0,0,4,4,0,0,0,4,4,4,0,0,4,4,0,29-08-21,29-08-21,11:45:42,Wed Sep 29 2021 11:45:42 GMT+0200 (Central European Summer Time),The main experiment item,yes,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files,0,0,0,no,mono,no,18,no,white,no,no,768,47,3.6.1,legacy,legacy,4 8,osweb,1.4.0,1,1,y,36,,0,right,,,right,right,,right,484,,,42840,26321,,484,2,legacy,1050,1920,24,1080,24,0,0,1920,1632908744564,2,1024,2,48000,-16,experiment,1,odd,Win32,4,95584,,,92338,39,93362,,38,42881,,97599,94369,98099,39,97599,Sternberg_updated,5,3514,5,yes,1024
100,100,656,656,black,no,practice,Mozilla,Netscape,"5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.61 Safari/537.36",legacy,legacy,legacy,0,uniform,1,1,right,5,5,5,5,0,0,0,5,5,0,0,0,5,5,5,0,0,5,5,0,29-08-21,29-08-21,11:45:42,Wed Sep 29 2021 11:45:42 GMT+0200 (Central European Summer Time),The main experiment item,yes,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files,0,0,0,no,mono,no,18,no,white,no,no,768,47,3.6.1,legacy,legacy,6,osweb,1.4.0,1,1,y,36,,0,right,,,right,right,,right,422,,,42840,26321,,422,2,legacy,1050,1920,24,1080,24,0,0,1920,1632908744564,1,1024,2,48000,-16,experiment,1,odd,Win32,6,101346,,,98099,39,99124,,38,42881,,103361,100130,103794,39,103361,Sternberg_updated,6,3936,6,yes,1024
100,100,651,651,black,no,practice,Mozilla,Netscape,"5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.61 Safari/537.36",legacy,legacy,legacy,0,uniform,1,1,left,6,6,6,6,0,0,0,6,6,0,0,0,6,6,6,0,0,6,6,0,29-08-21,29-08-21,11:45:42,Wed Sep 29 2021 11:45:42 GMT+0200 (Central European Summer Time),The main experiment item,yes,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files,0,0,0,no,mono,no,18,no,white,no,no,768,47,3.6.1,legacy,legacy,9 6 7 4 5,osweb,1.4.0,1,0,n,36,,0,left,,,right,right,,left,618,,,42840,26321,,618,2,legacy,1050,1920,24,1080,24,0,0,1920,1632908744564,5,1024,2,48000,-16,experiment,1,odd,Win32,3,107041,,,103794,39,104818,,38,42881,,109056,105825,109689,39,109056,Sternberg_updated,7,4554,7,yes,1024
100,100,637,637,black,no,practice,Mozilla,Netscape,"5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.61 Safari/537.36",legacy,legacy,legacy,0,uniform,1,1,left,7,7,7,7,0,0,0,7,7,0,0,0,7,7,7,0,0,7,7,0,29-08-21,29-08-21,11:45:42,Wed Sep 29 2021 11:45:42 GMT+0200 (Central European Summer Time),The main experiment item,yes,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files,0,0,0,no,mono,no,18,no,white,no,no,768,47,3.6.1,legacy,legacy,2 1,osweb,1.4.0,1,0,n,36,,0,left,,,right,right,,left,543,,,42840,26321,,543,2,legacy,1050,1920,24,1080,24,0,0,1920,1632908744564,2,1024,2,48000,-16,experiment,1,odd,Win32,5,112936,,,109689,39,110714,,38,42881,,114951,111720,115500,39,114951,Sternberg_updated,8,5097,8,yes,1024
100,100,647,647,black,no,practice,Mozilla,Netscape,"5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.61 Safari/537.36",legacy,legacy,legacy,0,uniform,1,1,right,8,8,8,8,0,0,0,8,8,0,0,0,8,8,8,0,0,8,8,0,29-08-21,29-08-21,11:45:42,Wed Sep 29 2021 11:45:42 GMT+0200 (Central European Summer Time),The main experiment item,yes,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files,0,0,0,no,mono,no,18,no,white,no,no,768,47,3.6.1,legacy,legacy,1 7 9 8 5,osweb,1.4.0,1,4,y,36,,0,right,,,right,right,,right,723,,,42840,26321,,723,2,legacy,1050,1920,24,1080,24,0,0,1920,1632908744564,5,1024,2,48000,-16,experiment,1,odd,Win32,8,118747,,,115501,39,116525,,38,42881,,120762,117532,121495,39,120762,Sternberg_updated,9,5820,9,yes,1024
100,100,678,678,black,no,practice,Mozilla,Netscape,"5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.61 Safari/537.36",legacy,legacy,legacy,0,uniform,1,1,right,9,9,9,9,0,0,0,9,9,0,0,0,9,9,9,0,0,9,9,0,29-08-21,29-08-21,11:45:42,Wed Sep 29 2021 11:45:42 GMT+0200 (Central European Summer Time),The main experiment item,yes,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files,0,0,0,no,mono,no,18,no,white,no,no,768,47,3.6.1,legacy,legacy,4 3 1 7 9 8,osweb,1.4.0,1,1,y,36,,0,right,,,right,right,,right,960,,,42840,26321,,960,2,legacy,1050,1920,24,1080,24,0,0,1920,1632908744564,6,1024,2,48000,-16,experiment,1,odd,Win32,4,124742,,,121496,39,122520,,38,42881,,126758,123527,127723,39,126758,Sternberg_updated,10,6780,10,yes,1024
100,100,660,660,black,no,practice,Mozilla,Netscape,"5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.61 Safari/537.36",legacy,legacy,legacy,0,uniform,1,1,right,10,10,10,10,0,0,0,10,10,0,0,0,10,10,10,0,0,10,10,0,29-08-21,29-08-21,11:45:42,Wed Sep 29 2021 11:45:42 GMT+0200 (Central European Summer Time),The main experiment item,yes,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files,0,0,0,no,mono,no,18,no,white,no,no,768,47,3.6.1,legacy,legacy,2 9 4,osweb,1.4.0,1,3,y,36,,0,right,,,right,right,,right,476,,,42840,26321,,476,2,legacy,1050,1920,24,1080,24,0,0,1920,1632908744564,3,1024,2,48000,-16,experiment,1,odd,Win32,4,130970,,,127724,39,128747,,38,42881,,132985,129755,133468,39,132985,Sternberg_updated,11,7256,11,yes,1024
100,100,642,642,black,no,practice,Mozilla,Netscape,"5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.61 Safari/537.36",legacy,legacy,legacy,0,uniform,1,1,right,11,11,11,11,0,0,0,11,11,0,0,0,11,11,11,0,0,11,11,0,29-08-21,29-08-21,11:45:42,Wed Sep 29 2021 11:45:42 GMT+0200 (Central European Summer Time),The main experiment item,yes,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files,0,0,0,no,mono,no,18,no,white,no,no,768,47,3.6.1,legacy,legacy,1 5 2 9,osweb,1.4.0,1,2,y,36,,0,right,,,right,right,,right,447,,,42840,26321,,447,2,legacy,1050,1920,24,1080,24,0,0,1920,1632908744564,4,1024,2,48000,-16,experiment,1,odd,Win32,5,136715,,,133468,39,134492,,38,42881,,138730,135499,139179,39,138730,Sternberg_updated,12,7703,12,yes,1024
100,100,638,638,black,no,experiment,Mozilla,Netscape,"5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.61 Safari/537.36",legacy,legacy,legacy,0,uniform,1,1,left,12,12,12,12,0,0,0,12,12,0,0,0,12,12,12,0,0,12,12,0,29-08-21,29-08-21,11:45:42,Wed Sep 29 2021 11:45:42 GMT+0200 (Central European Summer Time),The main experiment item,yes,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files,0,0,0,no,mono,no,18,no,white,no,no,768,47,3.6.1,legacy,legacy,1,osweb,1.4.0,1,0,n,36,,0,left,,,right,right,right,left,588,,,42840,26321,11977,588,2,legacy,1050,1920,24,1080,24,0,0,1920,1632908744564,1,1024,2,48000,-16,experiment,1,odd,Win32,7,154416,,,139181,39,152194,,38,42881,140196,156431,153201,157030,39,156431,Sternberg_updated,13,8291,13,yes,1024
100,100,654,654,black,no,experiment,Mozilla,Netscape,"5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.61 Safari/537.36",legacy,legacy,legacy,0,uniform,1,1,left,13,13,13,13,0,0,0,13,13,0,0,0,13,13,13,0,0,13,13,0,29-08-21,29-08-21,11:45:42,Wed Sep 29 2021 11:45:42 GMT+0200 (Central European Summer Time),The main experiment item,yes,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files,0,0,0,no,mono,no,18,no,white,no,no,768,47,3.6.1,legacy,legacy,4 2 6 9,osweb,1.4.0,1,0,n,36,,0,left,,,right,right,right,left,860,,,42840,26321,11977,860,2,legacy,1050,1920,24,1080,24,0,0,1920,1632908744564,4,1024,2,48000,-16,experiment,1,odd,Win32,7,160278,,,157031,39,158055,,38,42881,140196,162293,159062,163159,39,162293,Sternberg_updated,14,9151,14,yes,1024
100,100,654,654,black,no,experiment,Mozilla,Netscape,"5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.61 Safari/537.36",legacy,legacy,legacy,0,uniform,1,1,right,14,14,14,14,0,0,0,14,14,0,0,0,14,14,14,0,0,14,14,0,29-08-21,29-08-21,11:45:42,Wed Sep 29 2021 11:45:42 GMT+0200 (Central European Summer Time),The main experiment item,yes,0,0,/Users/ethan/Documents/GitHub/OpenSesame/Sternberg/experiment_files,0,0,0,no,mono,no,18,no,white,no,no,768,47,3.6.1,legacy,legacy,3 2 1 4 7,osweb,1.4.0,1,2,y,36,,0,right,,,right,right,right,right,658,,,42840,26321,11977,658,2,legacy,1050,1920,24,1080,24,0,0,1920,1632908744564,5,1024,2,48000,-16,experiment,1,odd,Win32,2,166406,,,163159,39,164183,,38,42881,140196,168421,165190,169087,39,168421,Sternberg_updated,15,9809,15,yes,1024
