participant,rt,Task,Interference
1,5.79,Reading,NoInt
2,5.26,Reading,NoInt
3,5.02,Reading,NoInt
4,4.87,Reading,NoInt
5,4.62,Reading,NoInt
6,5,Reading,NoInt
7,4.96,Reading,NoInt
8,4,Reading,NoInt
9,4.68,Reading,NoInt
10,6.79,Reading,NoInt
11,4.98,Reading,NoInt
12,5.48,Reading,NoInt
13,5.07,Reading,NoInt
14,4.28,Reading,NoInt
15,4.72,Reading,NoInt
16,4.66,Reading,NoInt
17,5.16,Reading,NoInt
18,7.07,Reading,NoInt
19,4.6,Reading,NoInt
20,4.52,Reading,NoInt
21,3.93,Reading,NoInt
22,4.7,Reading,NoInt
23,3.98,Reading,NoInt
24,3.98,Reading,NoInt
25,4.85,Reading,NoInt
26,3.69,Reading,NoInt
27,4.3,Reading,NoInt
28,4.75,Reading,NoInt
29,4.98,Reading,NoInt
30,5.16,Reading,NoInt
31,4.27,Reading,NoInt
1,5.95,Reading,Int
2,5.93,Reading,Int
3,4.39,Reading,Int
4,6.06,Reading,Int
5,9.55,Reading,Int
6,6.96,Reading,Int
7,4.91,Reading,Int
8,6.99,Reading,Int
9,10.47,Reading,Int
10,29.47,Reading,Int
11,6.22,Reading,Int
12,7.03,Reading,Int
13,9.62,Reading,Int
14,4.81,Reading,Int
15,10.21,Reading,Int
16,5.05,Reading,Int
17,5.53,Reading,Int
18,6.45,Reading,Int
19,4.6,Reading,Int
20,5.28,Reading,Int
21,5.72,Reading,Int
22,7.12,Reading,Int
23,6.28,Reading,Int
24,7.09,Reading,Int
25,6.17,Reading,Int
26,5.29,Reading,Int
27,4.28,Reading,Int
28,5.49,Reading,Int
29,5.16,Reading,Int
30,5.51,Reading,Int
31,4.59,Reading,Int
1,11.32,Naming,Int
2,7.94,Naming,Int
3,6.5,Naming,Int
4,7.66,Naming,Int
5,10.01,Naming,Int
6,11.2,Naming,Int
7,8.02,Naming,Int
8,8.76,Naming,Int
9,10.33,Naming,Int
10,11.16,Naming,Int
11,10.86,Naming,Int
12,11.14,Naming,Int
13,17.55,Naming,Int
14,12.45,Naming,Int
15,10.13,Naming,Int
16,11.64,Naming,Int
17,10.36,Naming,Int
18,6.88,Naming,Int
19,11.2,Naming,Int
20,8.83,Naming,Int
21,8.92,Naming,Int
22,9.69,Naming,Int
23,8.06,Naming,Int
24,10.58,Naming,Int
25,21.79,Naming,Int
26,6.82,Naming,Int
27,7.08,Naming,Int
28,9.66,Naming,Int
29,7.52,Naming,Int
30,8.81,Naming,Int
31,10.4,Naming,Int
1,10.01,Naming,NoInt
2,5.05,Naming,NoInt
3,5.18,Naming,NoInt
4,6.4,Naming,NoInt
5,6.28,Naming,NoInt
6,6.24,Naming,NoInt
7,4.98,Naming,NoInt
8,5.08,Naming,NoInt
9,7.85,Naming,NoInt
10,6.86,Naming,NoInt
11,6.99,Naming,NoInt
12,6.79,Naming,NoInt
13,6.93,Naming,NoInt
14,4.54,Naming,NoInt
15,6.51,Naming,NoInt
16,6.1,Naming,NoInt
17,7.94,Naming,NoInt
18,5.5,Naming,NoInt
19,6.32,Naming,NoInt
20,5.97,Naming,NoInt
21,6.05,Naming,NoInt
22,5.13,Naming,NoInt
23,6.35,Naming,NoInt
24,6.77,Naming,NoInt
25,9.05,Naming,NoInt
26,4.54,Naming,NoInt
27,6.25,Naming,NoInt
28,6.12,Naming,NoInt
29,6.73,Naming,NoInt
30,8.19,Naming,NoInt
31,5.32,Naming,NoInt
