participant,Condition,Time
1,ReadingNoInt,5.79
2,ReadingNoInt,5.26
3,ReadingNoInt,5.02
4,ReadingNoInt,4.87
5,ReadingNoInt,4.62
6,ReadingNoInt,5
7,ReadingNoInt,4.96
8,ReadingNoInt,4
9,ReadingNoInt,4.68
10,ReadingNoInt,6.79
11,ReadingNoInt,4.98
12,ReadingNoInt,5.48
13,ReadingNoInt,5.07
14,ReadingNoInt,4.28
15,ReadingNoInt,4.72
16,ReadingNoInt,4.66
17,ReadingNoInt,5.16
18,ReadingNoInt,7.07
19,ReadingNoInt,4.6
20,ReadingNoInt,4.52
21,ReadingNoInt,3.93
22,ReadingNoInt,4.7
23,ReadingNoInt,3.98
24,ReadingNoInt,3.98
25,ReadingNoInt,4.85
26,ReadingNoInt,3.69
27,ReadingNoInt,4.3
28,ReadingNoInt,4.75
29,ReadingNoInt,4.98
30,ReadingNoInt,5.16
31,ReadingNoInt,4.27
1,NamingInt,11.32
2,NamingInt,7.94
3,NamingInt,6.5
4,NamingInt,7.66
5,NamingInt,10.01
6,NamingInt,11.2
7,NamingInt,8.02
8,NamingInt,8.76
9,NamingInt,10.33
10,NamingInt,11.16
11,NamingInt,10.86
12,NamingInt,11.14
13,NamingInt,17.55
14,NamingInt,12.45
15,NamingInt,10.13
16,NamingInt,11.64
17,NamingInt,10.36
18,NamingInt,6.88
19,NamingInt,11.2
20,NamingInt,8.83
21,NamingInt,8.92
22,NamingInt,9.69
23,NamingInt,8.06
24,NamingInt,10.58
25,NamingInt,21.79
26,NamingInt,6.82
27,NamingInt,7.08
28,NamingInt,9.66
29,NamingInt,7.52
30,NamingInt,8.81
31,NamingInt,10.4
1,NamingNoInt,10.01
2,NamingNoInt,5.05
3,NamingNoInt,5.18
4,NamingNoInt,6.4
5,NamingNoInt,6.28
6,NamingNoInt,6.24
7,NamingNoInt,4.98
8,NamingNoInt,5.08
9,NamingNoInt,7.85
10,NamingNoInt,6.86
11,NamingNoInt,6.99
12,NamingNoInt,6.79
13,NamingNoInt,6.93
14,NamingNoInt,4.54
15,NamingNoInt,6.51
16,NamingNoInt,6.1
17,NamingNoInt,7.94
18,NamingNoInt,5.5
19,NamingNoInt,6.32
20,NamingNoInt,5.97
21,NamingNoInt,6.05
22,NamingNoInt,5.13
23,NamingNoInt,6.35
24,NamingNoInt,6.77
25,NamingNoInt,9.05
26,NamingNoInt,4.54
27,NamingNoInt,6.25
28,NamingNoInt,6.12
29,NamingNoInt,6.73
30,NamingNoInt,8.19
31,NamingNoInt,5.32
1,ReadingInt,5.95
2,ReadingInt,5.93
3,ReadingInt,4.39
4,ReadingInt,6.06
5,ReadingInt,9.55
6,ReadingInt,6.96
7,ReadingInt,4.91
8,ReadingInt,6.99
9,ReadingInt,10.47
10,ReadingInt,29.47
11,ReadingInt,6.22
12,ReadingInt,7.03
13,ReadingInt,9.62
14,ReadingInt,4.81
15,ReadingInt,10.21
16,ReadingInt,5.05
17,ReadingInt,5.53
18,ReadingInt,6.45
19,ReadingInt,4.6
20,ReadingInt,5.28
21,ReadingInt,5.72
22,ReadingInt,7.12
23,ReadingInt,6.28
24,ReadingInt,7.09
25,ReadingInt,6.17
26,ReadingInt,5.29
27,ReadingInt,4.28
28,ReadingInt,5.49
29,ReadingInt,5.16
30,ReadingInt,5.51
31,ReadingInt,4.59
